"Characters","Skill Name","Skill Level","Skill Description","SP Cost","Initial SP","Skill Duration","Charging Type",""
"","","2","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","54","","25","",""
"","","3","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","53","","25","",""
"","","4","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","50","","25","",""
"","","5","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","49","","25","",""
"","","6","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","48","","25","",""
"","","7","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","45","","25","",""
"Franka, Skadi","Swift Strike·Type γ","1","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","45","","35","Regen over time",""
"","","2","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","44","","35","",""
"","","3","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","43","","35","",""
"","","4","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","42","5","35","",""
"","","5","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","41","5","35","",""
"","","6","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","40","5","35","",""
"","","7","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","39","10","35","",""
"","","8","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","38","10","35","",""
"","","9","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","37","10","35","",""
"","","10","Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","35","15","35","",""
"Hibiscus","Healing Strengthening·Type α","1","Attack +{{atk}:.0%}","40","","20","Regen over time",""
"","","2","Attack +{{atk}:.0%}","40","","20","",""
"","","3","Attack +{{atk}:.0%}","40","","20","",""
"","","4","Attack +{{atk}:.0%}","35","","20","",""
"","","5","Attack +{{atk}:.0%}","35","","20","",""
"","","6","Attack +{{atk}:.0%}","35","","20","",""
"","","7","Attack +{{atk}:.0%}","30","","20","",""
"Sussurro, Perfumer","Healing Strengthening·Type β","1","Attack +{{atk}:.0%}","40","10","25","Regen over time",""
"","","2","Attack +{{atk}:.0%}","40","10","25","",""
"","","3","Attack +{{atk}:.0%}","40","10","25","",""
"","","4","Attack +{{atk}:.0%}","35","10","25","",""
"","","5","Attack +{{atk}:.0%}","35","10","25","",""
"","","6","Attack +{{atk}:.0%}","35","10","25","",""
"","","7","Attack +{{atk}:.0%}","32","10","25","",""
"","","8","Attack +{{atk}:.0%}","32","10","25","",""
"","","9","Attack +{{atk}:.0%}","32","10","25","",""
"","","10","Attack +{{atk}:.0%}","30","10","25","",""
"Ptilopsis, Silence, Nightingale","Healing Strengthening·Type γ","1","Attack +{{atk}:.0%}","40","20","30","Regen over time",""
"","","2","Attack +{{atk}:.0%}","40","20","30","",""
"","","3","Attack +{{atk}:.0%}","40","20","30","",""
"","","4","Attack +{{atk}:.0%}","35","20","30","",""
"","","5","Attack +{{atk}:.0%}","35","20","30","",""
"","","6","Attack +{{atk}:.0%}","35","20","30","",""
"","","7","Attack +{{atk}:.0%}","32","20","30","",""
"","","8","Attack +{{atk}:.0%}","32","20","30","",""
"","","9","Attack +{{atk}:.0%}","32","20","30","",""
"","","10","Attack +{{atk}:.0%}","30","20","30","",""
"Ansel","Healing Range Strengthening","1","Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}","45","10","19","Regen over time",""
"","","2","Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}","44","10","20","",""
"","","3","Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}","43","10","21","",""
"","","4","Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}","40","10","22","",""
"","","5","Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}","39","10","23","",""
"","","6","Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}","38","10","24","",""
"","","7","Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack +{{atk}:.0%}","35","10","25","",""
"Cardigan","Health Recovery·Type α","1","Immediately recover {{heal_scale}:.0%} of Max HP","26","","","Regen over time",""
"","","2","Immediately recover {{heal_scale}:.0%} of Max HP","25","","","",""
"","","3","Immediately recover {{heal_scale}:.0%} of Max HP","24","","","",""
"","","4","Immediately recover {{heal_scale}:.0%} of Max HP","23","5","","",""
"","","5","Immediately recover {{heal_scale}:.0%} of Max HP","22","5","","",""
"","","6","Immediately recover {{heal_scale}:.0%} of Max HP","21","5","","",""
"","","7","Immediately recover {{heal_scale}:.0%} of Max HP","20","10","","",""
"Matoimaru","Health Recovery·Type β","1","Immediately recover {{heal_scale}:.0%} of Max HP","30","","","Regen over time",""
"","","2","Immediately recover {{heal_scale}:.0%} of Max HP","29","","","",""
"","","3","Immediately recover {{heal_scale}:.0%} of Max HP","28","","","",""
"","","4","Immediately recover {{heal_scale}:.0%} of Max HP","27","3","","",""
"","","5","Immediately recover {{heal_scale}:.0%} of Max HP","26","3","","",""
"","","6","Immediately recover {{heal_scale}:.0%} of Max HP","25","3","","",""
"","","7","Immediately recover {{heal_scale}:.0%} of Max HP","24","7","","",""
"","","8","Immediately recover {{heal_scale}:.0%} of Max HP","23","8","","",""
"","","9","Immediately recover {{heal_scale}:.0%} of Max HP","22","9","","",""
"","","10","Immediately recover {{heal_scale}:.0%} of Max HP","20","10","","",""
"Midnight","Weapon Enchanting·Type α","1","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","80","20","30","Regen over time",""
"","","2","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","79","20","31","",""
"","","3","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","78","20","32","",""
"","","4","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","75","25","35","",""
"","","5","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","74","25","36","",""
"","","6","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","73","25","37","",""
"","","7","Attack +{{atk}:.0%}, change damage type of normal attack to magical damage","70","30","40","",""
"Vanilla","Assault Order·Reinforcements","1","Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}","25","","10","Regen over time",""
"","","2","Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}","25","1","10","",""
"","","3","Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}","25","2","10","",""
"","","4","Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}","23","3","10","",""
"","","5","Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}","22","3","10","",""
"","","6","Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}","21","3","10","",""
"","","7","Immediately obtain {{cost}:.0f} cost, Attack +{{atk}:.0%}","20","6","10","",""
"Kroos","Consecutive Shot·Auto","1","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","5","","","Regen on attack",""
"","","2","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","5","","","",""
"","","3","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","5","","","",""
"","","4","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","4","","","",""
"","","5","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","4","","","",""
"","","6","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","4","","","",""
"","","7","The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage","4","","","",""
"Spot","Secondary Healing Mode","1","Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)","40","15","15","Regen over time",""
"","","2","Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)","40","15","16","",""
"","","3","Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)","40","15","17","",""
"","","4","Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)","40","20","20","",""
"","","5","Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)","40","20","21","",""
"","","6","Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)","40","20","22","",""
"","","7","Attack +{{atk}:.0%}, stops attacking enemies and focuses on healing nearby allies (attack interval +{base_attack_time} seconds)","40","25","25","",""
"Catapult","Explosion Area Strengthening·Type α","1","Explosion area of normal attacks increased to {{attack@range_scale}:.0%}","55","","20","Regen over time",""
"","","2","Explosion area of normal attacks increased to {{attack@range_scale}:.0%}","53","","22","",""
"","","3","Explosion area of normal attacks increased to {{attack@range_scale}:.0%}","51","","24","",""
"","","4","Explosion area of normal attacks increased to {{attack@range_scale}:.0%}","50","","25","",""
"","","5","Explosion area of normal attacks increased to {{attack@range_scale}:.0%}","48","","27","",""
"","","6","Explosion area of normal attacks increased to {{attack@range_scale}:.0%}","46","","29","",""
"","","7","Explosion area of normal attacks increased to {{attack@range_scale}:.0%}","45","","30","",""
"Haze","Crimson Eyes","1","Max HP {{max_hp}:.0%}, Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","35","","25","Regen over time",""
"","","2","Max HP {{max_hp}:.0%}, Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","35","","25","",""
"","","3","Max HP {{max_hp}:.0%}, Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","35","","25","",""
"","","4","Max HP {{max_hp}:.0%}, Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","35","","25","",""
"","","5","Max HP {{max_hp}:.0%}, Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","35","","25","",""
"","","6","Max HP {{max_hp}:.0%}, Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","35","","25","",""
"","","7","Max HP {{max_hp}:.0%}, Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","30","","25","",""
"","","8","Max HP {{max_hp}:.0%}, Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","30","","25","",""
"","","9","Max HP {{max_hp}:.0%}, Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","30","","25","",""
"","","10","Max HP {{max_hp}:.0%}, Attack +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}","25","","25","",""
"Gitano","Fate","1","Attack +{{atk}:.0%}, increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends","100","50","30","Regen over time",""
"","","2","Attack +{{atk}:.0%}, increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends","100","50","30","",""
"","","3","Attack +{{atk}:.0%}, increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends","100","50","30","",""
"","","4","Attack +{{atk}:.0%}, increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends","95","50","30","",""
"","","5","Attack +{{atk}:.0%}, increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends","95","50","30","",""
"","","6","Attack +{{atk}:.0%}, increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends","95","50","30","",""
"","","7","Attack +{{atk}:.0%}, increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends","90","50","30","",""
"","","8","Attack +{{atk}:.0%}, increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends","90","50","30","",""
"","","9","Attack +{{atk}:.0%}, increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends","90","50","30","",""
"","","10","Attack +{{atk}:.0%}, increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends","85","50","30","",""
"Greyy","Static Release","1","Attack speed +{{attack_speed}:.0f}, duration of talent effect increased to {talent_scale}x","60","","20","Regen over time",""
"","","2","Attack speed +{{attack_speed}:.0f}, duration of talent effect increased to {talent_scale}x","60","","21","",""
"","","3","Attack speed +{{attack_speed}:.0f}, duration of talent effect increased to {talent_scale}x","60","","22","",""
"","","4","Attack speed +{{attack_speed}:.0f}, duration of talent effect increased to {talent_scale}x","60","","23","",""
"","","5","Attack speed +{{attack_speed}:.0f}, duration of talent effect increased to {talent_scale}x","60","","24","",""
"","","6","Attack speed +{{attack_speed}:.0f}, duration of talent effect increased to {talent_scale}x","60","","25","",""
"","","7","Attack speed +{{attack_speed}:.0f}, duration of talent effect increased to {talent_scale}x","60","","26","",""
"","","8","Attack speed +{{attack_speed}:.0f}, duration of talent effect increased to {talent_scale}x","60","","27","",""
"","","9","Attack speed +{{attack_speed}:.0f}, duration of talent effect increased to {talent_scale}x","60","","28","",""
"","","10","Attack speed +{{attack_speed}:.0f}, duration of talent effect increased to {talent_scale}x","60","","30","",""
"Steward","Powerful Strike·Type α","1","The next attack deals {{atk_scale}:.0%} damage","5","","","Regen on attack",""
"","","2","The next attack deals {{atk_scale}:.0%} damage","5","","","",""
"","","3","The next attack deals {{atk_scale}:.0%} damage","5","","","",""
"","","4","The next attack deals {{atk_scale}:.0%} damage","4","","","",""
"","","5","The next attack deals {{atk_scale}:.0%} damage","4","","","",""
"","","6","The next attack deals {{atk_scale}:.0%} damage","4","","","",""
"","","7","The next attack deals {{atk_scale}:.0%} damage","4","","","",""
"Jessica","Powerful Strike·Type β","1","The next attack deals {{atk_scale}:.0%} damage","5","","","Regen on attack",""
"","","2","The next attack deals {{atk_scale}:.0%} damage","5","","","",""
"","","3","The next attack deals {{atk_scale}:.0%} damage","5","","","",""
"","","4","The next attack deals {{atk_scale}:.0%} damage","4","","","",""
"","","5","The next attack deals {{atk_scale}:.0%} damage","4","","","",""
"","","6","The next attack deals {{atk_scale}:.0%} damage","4","","","",""
"","","7","The next attack deals {{atk_scale}:.0%} damage","4","","","",""
"","","8","The next attack deals {{atk_scale}:.0%} damage","4","","","",""
"","","9","The next attack deals {{atk_scale}:.0%} damage","4","","","",""
"","","10","The next attack deals {{atk_scale}:.0%} damage","3","","","",""
"Jessica","Cover Smoke","1","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","50","10","20","Regen over time",""
"","","2","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","49","10","20","",""
"","","3","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","48","10","20","",""
"","","4","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","47","10","21","",""
"","","5","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","46","10","21","",""
"","","6","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","45","10","21","",""
"","","7","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","44","15","22","",""
"","","8","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","43","15","23","",""
"","","9","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","42","15","24","",""
"","","10","Attack +{{atk}:.0%}, gain {{prob}:.0%} physical and magic evasion","40","20","25","",""
"Meteor","Armor-crushing Shot","1","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","","-1","Regen on attack",""
"","","2","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","","-1","",""
"","","3","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","","-1","",""
"","","4","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","","-1","",""
"","","5","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","","-1","",""
"","","6","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","5","","-1","",""
"","","7","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","4","","-1","",""
"","","8","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","4","","-1","",""
"","","9","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","4","","-1","",""
"","","10","The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} Defense to the target for {{duration}:.0f} seconds","4","","-1","",""
"Meteor","Armor-crushing Shot·Spread","1","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","20","","-1","Regen on attack",""
"","","2","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","20","","-1","",""
"","","3","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","20","","-1","",""
"","","4","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","19","","-1","",""
"","","5","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","19","","-1","",""
"","","6","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","19","","-1","",""
"","","7","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","18","","-1","",""
"","","8","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","17","","-1","",""
"","","9","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","16","","-1","",""
"","","10","Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} Defense to the targets for {{duration}:.0f} seconds","15","","-1","",""
"ShiraYuki","Whirlwind","1","Increase attack range by {{ability_range_forward_extend}:.0f} tiles","32","","25","Regen over time",""
"","","2","Increase attack range by {{ability_range_forward_extend}:.0f} tiles","31","","25","",""
"","","3","Increase attack range by {{ability_range_forward_extend}:.0f} tiles","30","","25","",""
"","","4","Increase attack range by {{ability_range_forward_extend}:.0f} tiles","27","5","25","",""
"","","5","Increase attack range by {{ability_range_forward_extend}:.0f} tiles","26","5","25","",""
"","","6","Increase attack range by {{ability_range_forward_extend}:.0f} tiles","25","5","25","",""
"","","7","Increase attack range by {{ability_range_forward_extend}:.0f} tiles","22","10","25","",""
"","","8","Increase attack range by {{ability_range_forward_extend}:.0f} tiles","21","10","25","",""
