"Fast Link for toolbox to hear voiceline ",,,"https://aceship.github.io/AN-EN-Tags/akhrchars.html",,"Please update the Translate Progress after finished editting",,
"char_009_12fce","12F","闲置","Idle","即使是您合上眼的时候，我也会伴随在您的左右，保证您的安全，请安心休息吧。",,"ドクター殿がお休みのときでも、私がそばを離れずお守りしますので、どうか安心してお休みください。",
"char_009_12fce","12F","干员报到","Operator Reporting In","感谢阁下让我加入这里，从今天开始，我将尽全力为您效劳——作为一名术师。一直以来我都没有名字，如果感觉不方便的话，今后请用12F称呼我。",,"ロドスへの加入を受け入れていただき、心より感謝いたします。これからは一人の術師として――ドクター殿のために全力を尽くします。名乗れるほどの名前は持ち合わせておりませんので、ご不便であれば私のことを、12Fとお呼びください。",
"char_009_12fce","12F","观看作战记录","Watching Combat Tape","原来是这样，我明白了。感谢您的指导。",,"なるほど、そういうことでしたか。ご指導、感謝いたします。",
"char_009_12fce","12F","编入队伍","Assign to Team","虽然我能力不出众，但是我会尽我所能去战斗的。",,"秀でた能力は持っておりませんが、全身全霊をかけて、戦いに臨みます。",
"char_009_12fce","12F","任命队长","Assign to Team Leader","第一个选择我真的没关系吗？谢谢你博士。",,"隊長選出に際して真っ先に私を選ぶとは、本当によろしいのですか？はっ感謝します、ドクター殿。",
"char_009_12fce","12F","行动出发","Operation Sortie","放轻松，博士。我们一定完成这次行动。",,"安心してください、必ず無事に任務を終えてみせます。",
"char_009_12fce","12F","行动开始","Operation Start","诸位，请做好作战准备。",,"各位、戦闘の準備をお願いします。",
"char_009_12fce","12F","选中干员1","Selected Operator 1","请指示。",,"ご指示をお待ちしております。",
"char_009_12fce","12F","选中干员2","Selected Operator 2","准备部署。",,"配置をお願いします。",
"char_009_12fce","12F","部署1","Deploy 1","了解。",,"了解しました。",
"char_009_12fce","12F","部署2","Deploy 2","收到。",,"承知しました。",
"char_009_12fce","12F","作战中1","In Combat 1","请让我看见前进的道路。",,"進むべき道を示しなさい！",
"char_009_12fce","12F","作战中2","In Combat 2","燃烧吧。",,"燃え上がりなさい！",
"char_009_12fce","12F","作战中3","In Combat 3","驱除前方的障碍。",,"立ちはだかるものはすべて排除いたしましょう。",
"char_009_12fce","12F","作战中4","In Combat 4","巨枭，小心！",,"アウル、気をつけなさい！",
"char_009_12fce","12F","4星结束行动","Complete Operation with 4 stars","我早已习惯了失败，但只有经历无数失败之后的胜利，才无比难得。不是吗，博士？",,"失敗することに慣れてしまった私ですが、失敗を繰り返した先にある成功にこそ、価値があると思うのです。ドクター殿もそうは思いませんか？",
"char_009_12fce","12F","3星结束行动","Complete Operation with 3 stars","这是属于您的胜利，我很荣幸能成为您的棋子。",,"この勝利をドクター殿に捧げます。ドクター殿の下で戦えて光栄でした。",
"char_009_12fce","12F","非3星结束行动","Complete Operation with 2 stars","有些危险，不过最后还是胜利了。巨枭你没事吧？",,"紙一重の勝利でしたが、勝利を収めることできてよかったです。アウル、無事でしたか？",
"char_009_12fce","12F","行动失败","Failed Operation","败乃兵家常事，博士请不要气馁......我经历过许多战争，经验告诉我，属于您的胜利即将到来。",,"勝敗は兵家の常と言いますし、どうか気を落とさずに……幾多の戦いの経験が、私に教えてくれているんです、勝利はこの先で待っていると。",
"char_009_12fce","12F","进驻设施","Assign to Station","没事，请让我来帮忙吧。",,"よろしければお手伝いしましょうか、遠慮はいりませんよ。",
"char_009_12fce","12F","戳一下","Poke","啊，请小心。",,"あはっ、お気をつけください。",
"char_009_12fce","12F","信赖触摸","Poke with Trust Bubble","博士，感谢你为我做了这么多，而我却没有什么可以报答你的，抱歉。",,"私のような者のために、ここまでしていただいたのに、なんのお返しもできず本当に情けないかぎりです、申し訳ございません、ドクター殿。",
"char_009_12fce","12F","标题","Title Screen","明日方舟。",,"アークナイツ。",
"char_009_12fce","12F","问候","Greeting","早上好，博士。",,"おはようございます、ドクター殿。",
"char_101_sora","Sora","任命助理","Assign Secretary","嗨~博士！您在做什么呢？好像很有趣的样子！","Heyo, Doctor! Hey, what are you doing? Looks interesting!","やっほー、ドクター！ねぇねぇなにしてるの？なんか面白そう。",
"char_101_sora","Sora","交谈1","Conversation 1","罗德岛有没有适合唱歌的场所呢？我希望没有战斗的时候，大家能有个一起唱卡拉OK放松放松的地方！","Is there a place on Rhodes Island to sing? Well, I was thinking when there's a day where we're not fighting, everyone could go all out with some karaoke!","ロドスって歌える場所あるのかな？いやー戦いのない日は、みんなでぱーっとカラオケでもやろうと思って！",
"char_101_sora","Sora","交谈2","Conversation 2","做偶像的时候，用歌声和表演来抓住Fans的心是我的工作，可是作为干员，我又该做些什么呢......？","When I'm being an idol, my job is to sing, perform, and obtain the hearts of the fans, but as an operator what should I be doing...?","アイドルやってるときは、歌声とパフォーマンスで、ファンの心をつかむのが仕事だけど、オペレーターって、一体なにすればいいの……？",
"char_101_sora","Sora","交谈3","Conversation 3","博士博士，有什么我能帮忙的吗？别看我这样，在企鹅物流里，我可也是会做些体力活的哦。","Doctor, Doctor, is there anything I can help you with? Don't look at me like that, I also do some manual labour over at Penguin Logistics too.","ドクタードクター、なにか手伝ってあげよっか？こう見えて私、ペンギン急便では力仕事もやるんだよ。",
"char_101_sora","Sora","晋升后交谈1","Elite Promotion Conversation 1","果然我的专长就是唱歌！单人清唱也好，合唱领唱也行，流行歌曲偶像歌曲都没问题，甚至RAP都不在话下！不过，好像这些对干员的工作没什么帮助呢......如果能更多地帮到大家就好了。","My specialty is obviously singing! Um, Acapella, Lead Vocals, Idol songs, Pop, and even Rap yo!..But this isn't really helpful when as an operator...I want to be more useful to everyone..","私の特技はもちろん歌うこと！えっとね、アカペラから、リードボーカル、アイドルソング、ポップス、ラップまでできるヨー！ ってこれ、オペレーターのお仕事には役立たないか……もっとみんなの役に立てるようになりたいなー。",
"char_101_sora","Sora","晋升后交谈2","Elite Promotion Conversation 2","耳、耳朵的事？就算您这么问，我也不能......那个，就算问德克萨斯她也是不会说的！以后有机会我会向您解释......！","M-my ears!? Even if you ask...it's even more useless to ask Texas-san about it! I'll tell you about it later..!","み、耳のこと？私に聞かれても……って、テキサスさんに聞くのはもっとダメ！そのうち教えるから……！",
"char_101_sora","Sora","信赖提升后交谈1","High Trust Conversation 1","德克萨斯是我的救命恩人，还教了我很多事情，所以只要有时间我都想待在她身边，帮她做点什么......嗯，只是想报恩而已！","Well, Texas is the one who saved my life, and taught me lots of things I didn't know about, so...whenever I have time, I want to be by her side always. Um, just to repay her kindness!","あのね、テキサスさんは私の命の恩人なの、それに私が知らないたくさんのことを教えてくれた、だから時間があるときはいつでもテキサスさんのそばにいたいんだ……えっと、ただ恩返しがしたいだけだよ！",
"char_101_sora","Sora","信赖提升后交谈2","High Trust Conversation 2","我看上去不太高兴？呣......因为，今天和德克萨斯一起做任务的人还是能天使对吧。哈......如果我也能像能天使那样强的话......","I dont look too happy? Mm...That's because, the one who's with Texas together on a mission today is Exusiai after all. Hah...If I were to become as strong like her...","拗ねてるように見える？ん……だって、今日のテキサスさんと一緒に任務に出るのはエクシアでしょ。はぁ……私もエクシアみたい強くなれれば……",
"char_101_sora","Sora","信赖提升后交谈3","High Trust Conversation 3","博士！能不能教教我怎么使用武器！唱歌什么的，只能在后方支援大家，要是我能用武器战斗的话......欸欸？您也不太擅长战斗？","Hey, Doctor! Teach me how to use a weapon! I can't do much but support from the backlines, so If I could use a weapon...Ehhhh? You're no good at fighting too?","ねぇドクター！私にも武器の使い方教えて！歌だけじゃ、後方支援しかできないから、もし武器も使えるようになれば……ってええ？ドクターも戦いは苦手？",
"char_101_sora","Sora","闲置","Idle","......德克萨斯，你在听我的歌吗？","...Texas-san, are you listening to my songs right now...?","テキサスさん、今頃私の歌、聞いてくれてるかな？",
"char_101_sora","Sora","干员报到","Operator Reporting In","(｡･∀･)ﾉﾞ嗨！我是来自MSR的，大家的偶像空~！呃，抱歉抱歉~这种风格的自我介绍，好像不太适合罗德岛吧。呜......","(｡･∀･)ﾉﾞ Hii~! Coming from MSR its everyone's idol Sora-chan~! ...Sorry, sorry this kind of introduction doesn't go well with Rhodes, right...? Sigh...","(｡･∀･)ﾉﾞハーイ！MSRから来ました、みんなのアイドルソラちゃんでーす！ってごめんごめん、この自己紹介、ロドスに合わないよね。はああ……",
"char_101_sora","Sora","观看作战记录","Watching Combat Tape","升级！","Level up!","レベルアーップ！",
"char_101_sora","Sora","精英化晋升1","Elite 1","晋升？是像偶像等级一样的制度吗？","Promotion? Like in idol rankings?","昇進？アイドルランクみたいなものかな？",
"char_101_sora","Sora","精英化晋升2","Elite 2","这样雀跃的心情，简直就像回到了初次站上LIVE舞台的那天......博士能这样信赖我，我真的很开心！至今为止的努力得到回报了......嗯？我的耳朵？怎、怎么了嘛......？","This feeling of excitement, it's like the first time I was standing on a live stage... For the Doctor to trust me like this, I'm re~ally happy! My efforts so far have paid off! Mm? My ears? W-what about them..!?","このわくわくした気持ち、まるで初めてライブステージに立った日みたい……ドクターが私を頼ってくれて、超うれしい！これまでの努力も報われるってもんだよ……うん？私の耳？どっかしたの……？",
"char_101_sora","Sora","编入队伍","Assign to Team","作为小队的一员，我会从基础知识开始学习的。","As a team member, I'll do my best to study for the mission!","チームメンバーとして、任務のお勉強もがんばるぞー。",
"char_101_sora","Sora","任命队长","Assign to Team Leader","队长吗？就像Center位一样吧？","Captain...? This is like being a center, right?","隊長？センターみたいなものだよね？",
"char_101_sora","Sora","行动出发","Operation Sortie","在战场上唱歌，真是新奇体验呢~","Singing in a battle, feels kinda fresh.","戦場で歌うのって、なんか新鮮。",
"char_101_sora","Sora","行动开始","Operation Start","如果我的歌声能阻止这场战争就好了。","It would be nice the fighting would stop with my song.","私の歌声で、戦いを止められたらいいのにな。",
"char_101_sora","Sora","选中干员1","Selected Operator 1","该我出场了吗？","Is it my turn?","私の出番かな？",
"char_101_sora","Sora","选中干员2","Selected Operator 2","我的话没问题！","If it's me it'll be all right!","私なら、大丈夫。",
"char_101_sora","Sora","部署1","Deploy 1","演唱会要开始喽！","Live, start!","ライブスタート！",
"char_101_sora","Sora","部署2","Deploy 2","开始了哦~！","Come now, it's star~ting~!","さあさあ、はっじまぁるよー！",
"char_101_sora","Sora","作战中1","In Combat 1","大家加油~！","Do your best, everyone!","みんな、がんばってー！",
"char_101_sora","Sora","作战中2","In Combat 2","我会支持你！","I'll support you!","応援してるよー！",
"char_101_sora","Sora","作战中3","In Combat 3","让形势逆转吧！","Let's turn the tables!","一発逆転！",
"char_101_sora","Sora","作战中4","In Combat 4","别输了！","Don't lose!","負けないで！",
"char_101_sora","Sora","4星结束行动","Complete Operation with 4 stars","大家的热情欢呼，今天也成功地传达给空了哟~！谢谢！","Everyone's passionate feelings have reached Sora-chan today too~! Thank you~!","みんなの熱い気持ち、今日もソラちゃんに伝わってきたよー！ありがとうー！",
"char_101_sora","Sora","3星结束行动","Complete Operation with 3 stars","成功了！大获全胜！德克萨斯，看到我活跃的表现了吗？","Alright! The operation was super successful! Texas-san, did you see my performance?","やった！作戦大成功！テキサスさん、私の活躍見てくれた？",
"char_101_sora","Sora","非3星结束行动","Complete Operation with 2 stars","大家辛苦了！","Thanks for the hard work, everyone!","みんな、お疲れ様。",
"char_101_sora","Sora","行动失败","Failed Operation","对不起......我没能成为大家的力量......","I'm sorry...I couldn't become everyone's strength...","ごめんなさい……みんなの力になれなかった……",
"char_101_sora","Sora","进驻设施","Assign to Station","这里比企鹅物流的宿舍要大上好多呢！","This place is so much bigger than Penguin Logistics' dormitory!","ペンギン急便の宿舎よりずっと大きいよ！",
"char_101_sora","Sora","戳一下","Poke","闪闪发光！","Sparkle!","キラリ！",
"char_101_sora","Sora","信赖触摸","Poke with Trust Bubble","欸嘿嘿~博士，谢谢你~！","Ehehe~ Doctor, thank you!","えひひ、ドクター、ありがとう！",
"char_101_sora","Sora","标题","Title Screen","明日方舟。","Arknights!","アークナイツ。",
"char_101_sora","Sora","问候","Greeting","今天也要开开心心哦，博士。","Doctor, let's go with smiles today too!","ドクター、今日も笑顔いっぱいでいこう。",
"char_102_texas","Texas","任命助理","Assign Secretary","我接下来的任务是保护博士你的安全。","My next mission is ensuring Doctor's personal safety.","次の任務はドクターの身辺警護か",
"char_102_texas","Texas","交谈1","Conversation 1","我的话不多？实际上，我对大多数事情都没什么感想。","I'm quiet?  That's because I'm not much for chatter.","無口だと？それは私が大抵の事に考え語抱くないからだ",
"char_102_texas","Texas","交谈2","Conversation 2","我们的工作是搬运生命和死亡。","We are the couriers of life and death.","我々の仕事は生と死を運ぶ事だ",
"char_102_texas","Texas","交谈3","Conversation 3","开车的时候我一般会听“空”她自己录的歌。","When I'm driving, I usually listen to Sora's songs.","運転中は大抵、""空""がとった曲を聞いている",
"char_102_texas","Texas","晋升后交谈1","Elite Promotion Conversation 1","这不是烟，是巧克力，定期摄入能量是必要的。所以......你要来点咖啡么？","Cigarette?  No, this is chocolate.  Regular intake of energy is important, you know.  So...  Would you like coffee?","タバコ？いや、これはチョコレートだ。エネルギーの定期摂取は必要だからな。そうだな。コーヒーでも飲むか？",
"char_102_texas","Texas","晋升后交谈2","Elite Promotion Conversation 2","什么时候加入企鹅物流的？嗯......什么时候呢......","When did I start working for Penguin Logistics?  When did I start...  I've forgotten that...","いつからペンギン急便で働いているか…　いつから…　そんな事はとうに忘れた。",
"char_102_texas","Texas","信赖提升后交谈1","High Trust Conversation 1","红色的狼，务必要小心。她不坏，但.....她和我们不一样。","Be careful of the red wolf.  She's not bad, but she's not one of us...","赤い狼は気をつけた方がいい。悪いやつではないが私たちとは違う...",
"char_102_texas","Texas","信赖提升后交谈2","High Trust Conversation 2","无论怎么逃，我的过去总有一天会追上我。","No matter where I run, the past is sure to catch up.","いくら逃げてところでいつか過去に追いつかれる",
"char_102_texas","Texas","信赖提升后交谈3","High Trust Conversation 3","自由的生活，吵闹的伙伴，虽然总给我带来麻烦，不过......我现在觉得这样也不坏。","Living free, with noisy comrades, it's all kinds of troublesome... but it's not a bad feeling at all.","自由な生活、騒がしい仲間、色々面倒だな...今はそれも悪くない気がする",
"char_102_texas","Texas","闲置","Idle","现在是休息时间吗？","Is it time for a break?","今は休憩時間なのか？",
"char_102_texas","Texas","干员报到","Operator Reporting In","代号德克萨斯，职能包括载具驾驶、货物搬运以及人员安全保障。关于任务的说明，请尽量简单些。","My name is Texas.  I'm in charge of vehicle operation and cargo transfer.  Also the protection of important people.  Regarding mission instructions, please keep them simple. ","名前はテキサス。仕事は車両の運転と物資の移送。そして要人の警護だ。任務に関する師事は出来るだけシーンプルで頼む",
"char_102_texas","Texas","观看作战记录","Watching Combat Tape","谢谢。","Thanks.","どうも。",
"char_102_texas","Texas","精英化晋升1","Elite 1","报酬的话，这些足够了。","If it's a reward, this will do.","報酬なら、これで十分だ。",
"char_102_texas","Texas","精英化晋升2","Elite 2","感谢你的信任，博士。","Thank you for your trust, Doctor.","ドクターの信頼に、感謝を。",
"char_102_texas","Texas","编入队伍","Assign to Team","需要我做什么？","What do you need me to do?","なにをすればいい。",
"char_102_texas","Texas","任命队长","Assign to Team Leader","我不太擅长指挥别人。","I'm not good at giving orders to anyone...","誰かに指示を出すのは苦手だ…",
"char_102_texas","Texas","行动出发","Operation Sortie","出发。","Let's go.","出発する。",
"char_102_texas","Texas","行动开始","Operation Start","能天使，掩护我。","Exusiai, cover me.","エクシア、援護を。",
"char_102_texas","Texas","选中干员1","Selected Operator 1","给我命令。","Your orders?","命令を。",
"char_102_texas","Texas","选中干员2","Selected Operator 2","了解。","Roger that.","了解した。",
"char_102_texas","Texas","部署1","Deploy 1","拔刀。","Draw your sword!","抜刀。",
"char_102_texas","Texas","部署2","Deploy 2","开始吧。","Let's begin.","始めよう。",
"char_102_texas","Texas","作战中1","In Combat 1","哼。","Hn!","ふん！",
"char_102_texas","Texas","作战中2","In Combat 2","没人能束缚我。","I don't intend to be bound by anyone!","誰にも縛れるつもりはない。",
"char_102_texas","Texas","作战中3","In Combat 3","斩尽杀绝。","Cut them down.","斬り尽くす",
"char_102_texas","Texas","作战中4","In Combat 4","闭嘴。","Shut up.","黙っていろう。",
"char_102_texas","Texas","4星结束行动","Complete Operation with 4 stars","哼，没问题。","Fu, no problem","ふ、問題ない。",
"char_102_texas","Texas","3星结束行动","Complete Operation with 3 stars","不堪一击。","Weak.","脆い。",
"char_102_texas","Texas","非3星结束行动","Complete Operation with 2 stars","溜走了几个。","I let a few of them through.","若干名の侵入を許した。",
"char_102_texas","Texas","行动失败","Failed Operation","我可能低估了这次行动的难度...","It looks like I was too naive this time.","今回の任務は甘く見ていたようだ",
"char_102_texas","Texas","进驻设施","Assign to Station","这里需要补充物资吗？我可以帮忙。","Do you have the required materials? That'd be a huge help.","必要な物資はあるか。助けになろう。",
"char_102_texas","Texas","戳一下","Poke","唔......！","...!","もぅ。。。！",
"char_102_texas","Texas","信赖触摸","Poke with Trust Bubble","怎么了？博士。","What is it, Doctor?","どうした、ドクター？",
"char_102_texas","Texas","标题","Title Screen","明日方舟。","Arknights.","アークナイツ。",
"char_102_texas","Texas","问候","Greeting","早。","Morning.","おはよう。",
"char_103_angel","Exusiai","任命助理","Assign Secretary","老板，安排点差事给我们吧~","Leader, leave the arrangements to us~","リーダー、なんか仕事を回してちょ～",
"char_103_angel","Exusiai","交谈1","Conversation 1","老板，不办个派对吗？来点嘻哈，再来点烤苹果派~完美的人生可是不能停止聚会的！No party，No life！","Leader, why don't we have a party? With hip-hop and lots of apple pie! For a perfect life, parties are a must! No party, no life!","リーダー、パーティーでもしない？ヒップホップ鳴らしてアップルパイなんかを焼いちゃってさ～完璧な人生にパーティーは付き物！No party, no life ふうってね！",
"char_103_angel","Exusiai","交谈2","Conversation 2","子弹上膛，准备万全★老板，今天送点什么呀！","Bullets loaded, preparations complete! Leader, what are we sending out today?","弾薬装填！準備OK!リーダイー、今日の配達物は何だい？",
"char_103_angel","Exusiai","交谈3","Conversation 3","有人认为只要有钱什么都能做到，不过在我这里可是行不通的哦。如果我要那个人安息，他有多少钱都没有用~","It's said that you can obtain anything with money, but you can't get me with that. For example, if I wanted someone to rest in peace, no amount of money will matter~","金さえあれば何でも手に入るなんて言うやつはいるけど、あたしには通用しないよ。たとえどんな大金持ちでもあの世に送ってすれば、それぎり～",
