Characters,BuffId,Skill Name,RoomType,BuffCategory,Skill Description
Ceylon,manu_formula_spd[220],Originium Research,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of originium products by +35%"
Waai Fu,manu_cost_all[000],Team Spirit,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, remove self-affecting mood reduction effects of all operators in the same Station"
"Adnachiel, Vanilla, Deepcolor, Cuora",trade_ord_spd[000],Order Distribution·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%"
"Yato, Fang, Haze, Mousse, Matoimaru",trade_ord_spd[001],Order Distribution·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30%"
Exusiai,trade_ord_spd[010],Penguin Logistics·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%"
Sora,trade_ord_spd[011],Penguin Logistics·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30%"
Exusiai,trade_ord_spd[020],Logistics Expert,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +35%"
"Noir Corne, Plume",trade_ord_spd&limit[000],Order Management·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +10% and order limit +1"
None,,Order Management·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +10% and order limit +2"
"Melantha, Orchid, Gitano",trade_ord_spd&limit[010],Supply Management,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +25% and order limit +1"
"Courier, Matterhorn, SilverAsh",trade_ord_spd&limit[020],Karlan Trading·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +15% and order limit +1"
Cliffheart,trade_ord_spd&limit[021],Karlan Trading·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +15% and order limit +2"
SilverAsh,trade_ord_spd&limit[022],Owner of Karlan,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20% and order limit +3"
Croissant,trade_ord_spd&limit[030],Penguin Logistics·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%"
Croissant,trade_ord_spd&limit[031],Mission Guarantee,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30% and order limit +1"
Bison,trade_ord_spd&limit[032],Fengchi Logistics,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%"
Bison,trade_ord_spd&limit[033],Young Master,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30% and order limit +1"
"Catapult, Midnight, Гум",trade_ord_spd&cost[000],Communication,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30% and mood reduction per hour -0.25"
"Steward, Rope, Myrtle",trade_ord_limit&cost[000],Negotiation,TRADING,OUTPUT,"When stationed at a Trade Station, order limit +3 and mood reduction per hour -0.25"
Texas,trade_ord_spd&cost_P[000],Resentment,TRADING,OUTPUT,"When stationed together with Lappland at the same Trade Station, mood reduction per hour +0.3 and order acquisition efficiency +65%"
Texas,trade_ord_limit&cost_P[010],Good Chemistry,TRADING,OUTPUT,"When stationed together with Exusiai at the same Trade Station, mood reduction per hour -0.3"
Lappland,trade_ord_limit&cost_P[000],Drunkard's Intent·α,TRADING,OUTPUT,"When stationed together with Texas at the same Trade Station, mood reduction per hour -0.1 and order limit +2"
Lappland,trade_ord_limit&cost_P[001],Drunkard's Intent·β,TRADING,OUTPUT,"When stationed together with Texas at the same Trade Station, mood reduction per hour -0.1 and order limit +4"
"Melantha, Gravel",workshop_proc_probability[000],Focus·α,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 40%"
"Deepcolor, Estelle",workshop_proc_probability[001],Focus·β,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 60%"
"Rangers, Adnachiel, Spot, Greyy",workshop_proc_probability[010],Skilled Craftsman,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 50%"
Magallan,workshop_proc_probability[011],Multi-purpose Mapper,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 50%"
Mayer,workshop_proc_probability[020],Mibo·Processing Model,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 65%"
Magallan,workshop_formula_cost[000],Dragon-style Drone,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, recipes which consume 4 mood and above will only consume 2 mood"
"Matoimaru, Savage, Flamebringer",workshop_formula_probability[000],Skill Theory,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing skill materials, increase the rate of by-products by 70%"
Hellagur,workshop_formula_probability[010],Soldier's Ruse,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing skill materials, increase the rate of by-products by 80%"
Flamebringer,workshop_formula_probability[020],Unparalleled,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing skill materials, increase the rate of by-products by 80%"
Hibiscus,workshop_formula_probability[100],Nutriology,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 70%"
Ceylon,workshop_formula_probability[101],Scholar,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 80%"
"Ansel, Myrrh, Perfumer, Gavial",workshop_formula_probability[110],Pharmacology·α,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 75%"
Sussurro,workshop_formula_probability[111],Pharmacology·β,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 80%"
Blue Poison,workshop_formula_probability[120],Toxicology·α,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 75%"
Blue Poison,workshop_formula_probability[121],Toxicology·β,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 80%"
Meteorite,workshop_formula_probability[130],Explosive Science·α,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 75%"
"Catapult, Meteorite",workshop_formula_probability[131],Explosive Science·β,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 80%"
Shaw,workshop_formula_probability[200],Engineering,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing infrastructure materials, increase the rate of by-products by 70%"
"12F, Beehunter",workshop_formula_probability[300],Special Training Records,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing chips, increase the rate of by-products by 70%"
"Dobermann, Swire",train_spd[000],Instructor,TRAINING,FUNCTION,"When stationed at the Training Station, operative skill training speed +25%"
"Plume, Grani",train_spd&profession[010],Vanguard Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Vanguard operatives by +30%"
"Vigna, Grani",train_spd&profession[011],Vanguard Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Vanguard operatives by +50%"
"Beehunter, Franka, Broca",train_spd&profession[020],Guard Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Guard operatives by +30%"
"Franka, Broca",train_spd&profession[021],Guard Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Guard operatives by +50%"
"Hoshiguma, Dur-nar",train_spd&profession[030],Defender Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Defender operatives by +30%"
Matterhorn,train_spd&profession[031],Defender Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Defender operatives by +50%"
"Platinum, Executor",train_spd&profession[040],Sniper Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Sniper operatives by +30%"
Platinum,train_spd&profession[041],Sniper Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Sniper operatives by +50%"
"Nightmare, Skyfire",train_spd&profession[050],Caster Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Caster operatives by +30%"
Skyfire,train_spd&profession[051],Caster Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Caster operatives by +50%"
Истина,train_spd&profession[060],Supporter Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Supporter operatives by +30%"
Pramanix,train_spd&profession[061],Supporter Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Supporter operatives by +50%"
"Gavial, Warfarin, Sussurro",train_spd&profession[070],Medic Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Medic operatives by +30%"
Warfarin,train_spd&profession[071],Medic Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Medic operatives by +50%"
Manticore,train_spd&profession[080],Specialist Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Specialist operatives by +30%"
Manticore,train_spd&profession[081],Specialist Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Specialist operatives by +50%"
Hoshiguma,train_spd&profession[130],Shield of Prajna,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Defender operatives by +60%"
Schwarz,train_spd&profession[140],Black Arrow,TRAINING,FUNCTION,"When stationed at the Training Station, increase the skill training speed of Sniper operatives by +60%"
"Kroos, Estelle, Frostleaf, Specter, Skadi, Reed",dorm_rec_oneself[000],Solitude,DORMITORY,RECOVERY,"When stationed at a Dorm, self mood recovery per hour +0.7"
Specter,dorm_rec_oneself[010],Fanaticism,DORMITORY,RECOVERY,"When stationed at a Dorm, self mood recovery per hour +0.85"
Skadi,dorm_rec_oneself[020],Elegy,DORMITORY,RECOVERY,"When stationed at a Dorm, self mood recovery per hour +1"
Ethan,dorm_rec_oneself[030],Invisible Gourmet,DORMITORY,RECOVERY,"When stationed at a Dorm, self mood recovery per hour +0.75"
Lancet-2,dorm_rec_single[000],Medical Service,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.65 per hour (When stacked, only the highest effect becomes active)"
"Hibiscus, Ansel, Myrrh, Meteor, Shining",dorm_rec_single[010],Empathetic,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.55 per hour (When stacked, only the highest effect becomes active)"
Shining,dorm_rec_single[020],Benevolence,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.75 per hour (When stacked, only the highest effect becomes active)"
Schwarz,dorm_rec_single_P[000],Making Tea,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.55 per hour (When stacked, only the highest effect becomes active, and not counted as an additional effect). If the target is Ceylon, increase recovery by an additional +0.45"
Nightingale,dorm_rec_all[000],Inspiring,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.1 per hour (When stacked, only the highest effect becomes active)"
Amiya,dorm_rec_all[010],Violin Solo,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.15 per hour (When stacked, only the highest effect becomes active)"
Sora,dorm_rec_all[020],Idol,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.15 per hour (When stacked, only the highest effect becomes active)"
"Зима, Siege, Myrtle",dorm_rec_all[030],Leader,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.15 per hour (When stacked, only the highest effect becomes active)"
Зима,dorm_rec_all[040],Winter General,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.2 per hour (When stacked, only the highest effect becomes active)"
Siege,dorm_rec_all[050],Lionheart Sovereign,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.2 per hour (When stacked, only the highest effect becomes active)"
Nightingale,dorm_rec_all[060],The Lady with the Lamp,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.2 per hour (When stacked, only the highest effect becomes active)"
"Beagle, Cardigan",dorm_rec_single&oneself[000],Lively,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.2 per hour (When stacked, only the highest effect becomes active). At the same time, self mood recovery per hour +0.4"
Cliffheart,dorm_rec_single&oneself[001],Explorer's Enthusiasm,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.25 per hour (When stacked, only the highest effect becomes active). At the same time, self mood recovery per hour +0.5"
Mousse,dorm_rec_single&oneself[010],Baking,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.3 per hour (When stacked, only the highest effect becomes active). At the same time, self mood recovery per hour +0.3"
"Гум, Savage",dorm_rec_single&oneself[011],Cooking,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.35 per hour (When stacked, only the highest effect becomes active). At the same time, self mood recovery per hour +0.35"
Popukar,dorm_rec_single&oneself[020],Harmonius,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.4 per hour (When stacked, only the highest effect becomes active). At the same time, self mood recovery per hour +0.2"
Pramanix,dorm_rec_single&oneself[021],Saintess of Karlan,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.5 per hour (When stacked, only the highest effect becomes active). At the same time, self mood recovery per hour +0.25"
Nearl,dorm_rec_single&oneself[030],Knight of Light,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.5 per hour (When stacked, only the highest effect becomes active). At the same time, self mood recovery per hour +0.25"
Durin,dorm_rec_all&oneself[000],Lazy,DORMITORY,RECOVERY,"When stationed at a Dorm, self mood recovery per hour -0.1 and increase mood recovery of all operators within that dorm by +0.2 per hour (When stacked, only the highest effect becomes active)"
Durin,dorm_rec_all&oneself[001],Sleep Addict,DORMITORY,RECOVERY,"When stationed at a Dorm, self mood recovery per hour -0.1 and increase mood recovery of all operators within that dorm by +0.25 per hour (When stacked, only the highest effect becomes active)"
Hellagur,dorm_rec_all&oneself[010],Detachment,DORMITORY,RECOVERY,"When stationed at a Dorm, self mood recovery per hour +0.55"
Hellagur,dorm_rec_all&oneself[011],Breaking Free,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.1 per hour (When stacked, only the highest effect becomes active)"
Hellagur,dorm_rec_all&oneself[012],Extricated,DORMITORY,RECOVERY,"When stationed at a Dorm, self mood recovery per hour +0.55. At the same time, increase mood recovery of all operators within that dorm by +0.1 per hour (When stacked, only the highest effect becomes active). "
Rangers,hire_spd[000],HR Management·α,HIRE,FUNCTION,"When stationed at Human Resource, accumulation of networking resources +20%"
None,,HR Management·β,HIRE,FUNCTION,"When stationed at Human Resource, accumulation of networking resources +35%"
"Earthspirit, Provence",hire_spd[010],Disaster Messenger·α,HIRE,FUNCTION,"When stationed at Human Resource, accumulation of networking resources +30%"
"Provence, Eyjafjalla",hire_spd[011],Disaster Messenger·β,HIRE,FUNCTION,"When stationed at Human Resource, accumulation of networking resources +45%"
"Orchid, Nightmare",hire_spd[020],Psychology,HIRE,FUNCTION,"When stationed at Human Resource, accumulation of networking resources +40%"
Ethan,hire_spd[030],WRITER,HIRE,FUNCTION,"When stationed at Human Resource, accumulation of networking resources +40%"
Firewatch,meet_spd[000],Clue Collection·α,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10%"
"12F, ShiraYuki, Rope, Firewatch, May",meet_spd[001],Clue Collection·β,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +20%"
Gitano,meet_spd[010],Divination,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +25%"
Projekt Red,meet_spd[020],Tracker,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +25%"
May,meet_team[020],Royal Agent (Self-proclaimed),MEETING,FUNCTION,"When stationed at Reception, it becomes easier to obtain clues from Penguin Logistics"
"Indra, Saria, Angelina, Astesia, Breeze, Mostima",meet_spd&team[000],Clue Collection·α,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10%"
Saria,meet_spd&team[010],Watchman,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Rhine Labs"
Mostima,meet_Spd&team[020],Envoy · Penguin Logistics,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Penguin Logistics"
Jessica,meet_spd&team[030],Liaison,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Blacksteel"
Courier,meet_spd&team[040],Messenger,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Karlan Trading"
Истина,meet_spd&team[050],Staff,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Ursus Student Council"
Angelina,meet_spd&team[060],Envoy · Rhodes Island,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Rhodes Island"
None,,Inspector,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Rhodes Island"
Indra,meet_spd&team[070],Courier,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Glasgow Group"
Breeze,meet_spd&team[071],Declining Nobility,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Glasgow Group"
Ch'en,meet_spd&team[100],Superintendent,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +25%"
Astesia,meet_spd&team[110],Astrology,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +25%"
