Character,Rarity,Talent Name,Talent Description,Required Level,Required Potential Rank
,,Victorian Explorer,"Attack +8% (+1%), Attack speed +8 (+1)",Elite 2 Lvl 1,4
Ambriel,4,Precise Strike,"When attacking targets outside of the default attack range, there is 25% chance to stun the target for 2 seconds.",Elite 2 Lvl 1,0
,,Precise Strike,"When attacking targets outside of the default attack range, there is 28% (+3%) chance to stun the target for 2 seconds.",Elite 2 Lvl 1,4
Blue Poison,5,Neurotoxin,"Attacks poison the target, dealing 30 magical damage every second for 3 seconds",Elite 1 Lvl 1,0
,,Neurotoxin,"Attacks poison the target, dealing 40 (+10) magical damage every second for 3 seconds",Elite 1 Lvl 1,4
,,Neurotoxin,"Attacks poison the target, dealing 75 magical damage every second for 3 seconds",Elite 2 Lvl 1,0
,,Neurotoxin,"Attacks poison the target, dealing 85 (+10) magical damage every second for 3 seconds",Elite 2 Lvl 1,4
Platinum,5,Charged Attack,"The longer the interval since the last attack, the higher the Attack power of the next attack (Maximum 2.5 seconds, Attack 140%)",Elite 1 Lvl 1,0
,,Charged Attack,"The longer the interval since the last attack, the higher the Attack power of the next attack (Maximum 2.5 seconds, Attack 150% (+10%))",Elite 1 Lvl 1,4
,,Charged Attack,"The longer the interval since the last attack, the higher the Attack power of the next attack (Maximum 2.5 seconds, Attack 180%)",Elite 2 Lvl 1,0
,,Charged Attack,"The longer the interval since the last attack, the higher the Attack power of the next attack (Maximum 2.5 seconds, Attack 190% (+10%))",Elite 2 Lvl 1,4
Meteorite,5,High-explosive Modification,"When attacking or using skills, 15% chance to increase Attack by +60%",Elite 1 Lvl 1,0
,,High-explosive Modification,"When attacking or using skills, 30% chance to increase Attack by +60%",Elite 2 Lvl 1,0
Provence,5,Hunting Arrow,"When attacking, 20% chance to increase Attack to 140%. If the enemy is in the tile in front of Provence, the chance increases to 50%",Elite 1 Lvl 1,0
,,Hunting Arrow,"When attacking, 20% chance to increase Attack to 150% (+10%). If the enemy is in the tile in front of Provence, the chance increases to 50%",Elite 1 Lvl 1,4
,,Hunting Arrow,"When attacking, 20% chance to increase Attack to 180%. If the enemy is in the tile in front of Provence, the chance increases to 50%",Elite 2 Lvl 1,0
,,Hunting Arrow,"When attacking, 20% chance to increase Attack to 190% (+10%). If the enemy is in the tile in front of Provence, the chance increases to 50%",Elite 2 Lvl 1,4
Firewatch,5,Assassin,"When attacking enemies wielding ranged weapons, Attack increases to 120%",Elite 1 Lvl 1,0
,,Assassin,"When attacking enemies wielding ranged weapons, Attack increases to 125% (+5%)",Elite 1 Lvl 1,4
,,Assassin,"When attacking enemies wielding ranged weapons, Attack increases to 140%",Elite 2 Lvl 1,0
,,Assassin,"When attacking enemies wielding ranged weapons, Attack increases to 145% (+5%)",Elite 2 Lvl 1,4
Executor,5,Terminating Modification,"When attacking, ignore 80 Defense",Elite 1 Lvl 1,0
,,Terminating Modification,"When attacking, ignore 95 (+15) Defense",Elite 1 Lvl 1,4
,,Terminating Modification,"When attacking, ignore 160 Defense",Elite 2 Lvl 1,0
,,Terminating Modification,"When attacking, ignore 175 (+15) Defense",Elite 2 Lvl 1,4
GreyThroat,5,Tailwind,Attack speed +6,Elite 1 Lvl 1,0
,,Tailwind,"Attack speed +6. When attacking, 15% chance to increase Attack to 150%",Elite 2 Lvl 1,0
Sesa,5,Weakpoint Demolition,"When deployed, all blocked enemies receive +7% physical damage",Elite 1 Lvl 1,0
,,Weakpoint Demolition,"When deployed, all blocked enemies receive +9% (+2%) physical damage",Elite 1 Lvl 1,4
,,Weakpoint Demolition,"When deployed, all blocked enemies receive +14% physical damage",Elite 2 Lvl 1,0
,,Weakpoint Demolition,"When deployed, all blocked enemies receive +16% (+2%) physical damage",Elite 2 Lvl 1,4
Exusiai,6,Rapid Magazine,Attack speed +6,Elite 1 Lvl 1,0
,,Rapid Magazine,Attack speed +9 (+3),Elite 1 Lvl 1,2
,,Rapid Magazine,Attack speed +12,Elite 2 Lvl 1,0
,,Rapid Magazine,Attack speed +15 (+3),Elite 2 Lvl 1,2
,,Angel's Blessings,"Attack +6%, Max HP +10%. When deployed, grant the same effect to a random ally",Elite 2 Lvl 1,0
,,Angel's Blessings,"Attack +8% (+2%), Max HP +13% (+3%). When deployed, grant the same effect to a random ally",Elite 2 Lvl 1,5
Schwarz,6,Sharp Arrowhead,"When attacking, 20% chance to increase Attack to 130%",Lvl 1,0
,,Armor-piercing Arrowhead,"When attacking, 20% chance to increase Attack to 130% and decrease the target's Defense by 10% for 5 seconds",Elite 1 Lvl 1,0
,,Armor-piercing Arrowhead,"When attacking, 20% chance to increase Attack to 160% and decrease the target's Defense by 20% for 5 seconds",Elite 2 Lvl 1,0
,,Crossfire,"When Schwarz and at least one other 【Sniper】 operative are deployed, all 【Sniper】 operatives gain Attack +8%",Elite 2 Lvl 1,0
,,Crossfire,"When Schwarz and at least one other 【Sniper】 operative are deployed, all 【Sniper】 operatives gain Attack +10% (+2%)",Elite 2 Lvl 1,5
W,6,Ambush,"10 seconds after deployment, gain 40% physical and magic evasion and become less likely to be targeted by enemies",Elite 1 Lvl 1 ,0
,,Ambush,"10 seconds after deployment, gain 60% physical and magic evasion and become less likely to be targeted by enemies",Elite 2 Lvl 1,0
,,Ruthless,Stunned enemies within attack range have +18% physical damage taken,Elite 2 Lvl 1,0
,,Ruthless,Stunned enemies within attack range have +21% (+3%) physical damage taken,Elite 2 Lvl 1,4
Poca,6,Bone-Deep,"When attacking heavy enemies (weight >= 3), ignore 40% Defense",Elite 1 Lvl 1,0
,,Bone-Deep,"When attacking heavy enemies (weight >= 3), ignore 60% Defense",Elite 2 Lvl 1,0
,,Role Model,"When in team, all 【Ursus Student Council】 operatives gain Attack +8%",Elite 2 Lvl 1,0
,,Role Model,"When in team, all 【Ursus Student Council】 operatives gain Attack +10% (+2%)",Elite 2 Lvl 1,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
