"高级加固建材","Reinforced Building Material","none","请勿对使用该标准建材维护过的房间进行无限制的稳定性测试！理论认为，目前已知的测试手段并不能破坏此房间的结构完整，但有可能导致实验者灰飞烟灭。","Please do not waste time with stress tests on rooms strengthened by this material! None of the currently employed demolition methods can damage the structural integrity of these rooms, but they may be dangerous to the experimenters.","MTL_BASE_SYNTH3"
"源石碎片","Originium Shard","none","从遭受重度污染的地区回收的源石碎块，存在高感染威胁及一定突变概率，是哥伦比亚疾病防控中心毒性数据库重点提及的危险物质。","An Originium shard collected from heavily contaminated regions. Anyone who touches it has a high chance to get infected and even mutate. Therefore, it is a hazardous material as indicated in the Columbia CDC toxicity database.","MTL_DIAMOND_SHD"
"先锋芯片","Vanguard Chip","Vanguard Chip","通过努力特训得来的素材，似乎能对资历尚浅的先锋有特别的帮助。","A material obtained after hard training. It seems to be especially helpful for rookie Vanguard Operators.","MTL_ASC_PIO1"
"先锋芯片组","Vanguard Chip Pack","Vanguard Chip Set","通过努力特训得来的素材，似乎能对日渐成熟的先锋干员有特别的指导。","A material obtained after hard training. It seems to be especially helpful for experienced Vanguard Operators.","MTL_ASC_PIO2"
"先锋双芯片","Vanguard Dualchip","Vanguard Twin Chip","通过努力特训得来的素材，似乎能对资历颇深的先锋干员有特别的提升。","A material obtained after hard training. It seems to be especially helpful for veteran Vanguard Operators.","MTL_ASC_PIO3"
"近卫芯片","Guard Chip","Guard Chip","通过努力特训得来的素材，似乎能对资历尚浅的近卫干员有特别的帮助。","A material obtained after hard training. It seems to be especially helpful for rookie Guard Operators.","MTL_ASC_GRD1"
"近卫芯片组","Guard Chip Pack","Guard Chip Set","通过努力特训得来的素材，似乎能对日渐成熟的近卫干员有特别的指导。","A material obtained after hard training. It seems to be especially helpful for experienced Guard Operators.","MTL_ASC_GRD2"
"近卫双芯片","Guard Dualchip","Guard Twin Chip","通过努力特训得来的素材，似乎能对资历颇深的近卫干员有特别的提升。","A material obtained after hard training. It seems to be especially helpful for veteran Guard Operators.","MTL_ASC_GRD3"
"重装芯片","Defender Chip","Tank Chip","通过努力特训得来的素材，似乎能对资历尚浅的重装干员有特别的帮助。","A material obtained after hard training. It seems to be especially helpful for rookie Defender Operators.","MTL_ASC_TNK1"
"重装芯片组","Defender Chip Pack","Tank Chip Set","通过努力特训得来的素材，似乎能对日渐成熟的重装干员有特别的指导。","A material obtained after hard training. It seems to be especially helpful for experienced Defender Operators.","MTL_ASC_TNK2"
"重装双芯片","Defender Dualchip","Tank Twin Chip","通过努力特训得来的素材，似乎能对资历颇深的重装干员有特别的提升。","A material obtained after hard training. It seems to be especially helpful for veteran Defender Operators.","MTL_ASC_TNK3"
"狙击芯片","Sniper Chip","Sniper Chip","通过努力特训得来的素材，似乎能对资历尚浅的狙击干员有特别的帮助。","A material obtained after hard training. It seems to be especially helpful for rookie Sniper Operators.","MTL_ASC_SNP1"
"狙击芯片组","Sniper Chip Pack","Sniper Chip Set","通过努力特训得来的素材，似乎能对日渐成熟的狙击干员有特别的指导。","A material obtained after hard training. It seems to be especially helpful for experienced Sniper Operators.","MTL_ASC_SNP2"
"狙击双芯片","Sniper Dualchip","Sniper Twin Chip","通过努力特训得来的素材，似乎能对资历颇深的狙击干员有特别的提升。","A material obtained after hard training. It seems to be especially helpful for veteran Sniper Operators.","MTL_ASC_SNP3"
"术师芯片","Caster Chip","Caster Chip","通过努力特训得来的素材，似乎能对资历尚浅的术师干员有特别的帮助。","A material obtained after hard training. It seems to be especially helpful for rookie Caster Operators.","MTL_ASC_CST1"
"术师芯片组","Caster Chip Pack","Caster Chip Set","通过努力特训得来的素材，似乎能对日渐成熟的术师干员有特别的指导。","A material obtained after hard training. It seems to be especially helpful for experienced Caster Operators.","MTL_ASC_CST2"
"术师双芯片","Caster Dualchip","Caster Twin Chip","通过努力特训得来的素材，似乎能对资历颇深的术师干员有特别的提升。","A material obtained after hard training. It seems to be especially helpful for veteran Caster Operators.","MTL_ASC_CST3"
"医疗芯片","Medic Chip","Medic Chip","通过努力特训得来的素材，似乎能对资历尚浅的医疗干员有特别的帮助。","A material obtained after hard training. It seems to be especially helpful for rookie Medic Operators.","MTL_ASC_MED1"
"医疗芯片组","Medic Chip Pack","Medic Chip Set","通过努力特训得来的素材，似乎能对日渐成熟的医疗干员有特别的指导。","A material obtained after hard training. It seems to be especially helpful for experienced Medic Operators.","MTL_ASC_MED2"
"医疗双芯片","Medic Dualchip","Medic Twin Chip","通过努力特训得来的素材，似乎能对资历颇深的医疗干员有特别的提升。","A material obtained after hard training. It seems to be especially helpful for veteran Medic Operators.","MTL_ASC_MED3"
"辅助芯片","Supporter Chip","Support Chip","通过努力特训得来的素材，似乎能对资历尚浅的辅助干员有特别的帮助。","A material obtained after hard training. It seems to be especially helpful for rookie Supporter Operators.","MTL_ASC_SUP1"
"辅助芯片组","Supporter Chip Pack","Support Chip Set","通过努力特训得来的素材，似乎能对日渐成熟的辅助干员有特别的指导。","A material obtained after hard training. It seems to be especially helpful for experienced Supporter Operators.","MTL_ASC_SUP2"
"辅助双芯片","Supporter Dualchip","Support Twin Chip","通过努力特训得来的素材，似乎能对资历颇深的辅助干员有特别的提升。","A material obtained after hard training. It seems to be especially helpful for veteran Supporter Operators.","MTL_ASC_SUP3"
"特种芯片","Specialist Chip","Specialist Chip","通过努力特训得来的素材，似乎能对资历尚浅的特种干员有特别的帮助。","A material obtained after hard training. It seems to be especially helpful for rookie Specialist Operators.","MTL_ASC_SPC1"
"特种芯片组","Specialist Chip Pack","Specialist Chip Set","通过努力特训得来的素材，似乎能对日渐成熟的特种干员有特别的指导。","A material obtained after hard training. It seems to be especially helpful for experienced Specialist Operators.","MTL_ASC_SPC2"
"特种双芯片","Specialist Dualchip","Specialist Twin Chip","通过努力特训得来的素材，似乎能对资历颇深的特种干员有特别的提升。","A material obtained after hard training. It seems to be especially helpful for veteran Specialist Operators.","MTL_ASC_SPC3"
"技巧概要·卷1","Skill Summary - 1","Skill Book  Vol.1","记录着干员们所需的入门技艺，普通人只要经过简略学习就能完全掌握。","It records entry-level skills needed by Operators. Even a dummy could master the techniques after a bit of study.","MTL_SKILL1"
"技巧概要·卷2","Skill Summary - 2","Skill Book Vol.2","记录着干员们所需的进阶技艺，需要耗费一定时间研读并付诸实践才能扎实掌握。","It records junior skills needed by Operators. It takes some time and effort to master them.","MTL_SKILL2"
"技巧概要·卷3","Skill Summary - 3","Skill Book Vol.3","记录着干员们所需的专家级技艺，需要特定领域长久的经验积累才能一窥其中的奥妙。","It records high level skills needed by Operators. It takes a depth of experience in relevant fields to understand them.","MTL_SKILL3"
"家具零件","Furniture Part","none","桌腿、扶手、坐垫，什么都有，只要稍加组合，就能变成精美的家具了。","Table legs, chair arms, cushions, we have everything here. Put them together and you get a nice piece of furniture.","COIN_FURN"
"龙门币","LMD","Lungmen Coin","经济危机发生后，经济的衰退与政权之间的对立让贸易参与者们举步维艰。龙门币的流通使商业复兴成为可能。","Since the financial crisis, economic decline and political instability have stood in the way of trade. The widespread circulation of Lungmen Dollars has allowed for some recovery in the business world.","GOLD"
"至纯源石","Originite Prime","none","在工业中用量巨大的源石结晶，但有着较高的提取难度。是世界的主要能源类精加工产物，同时也是几乎所有源石技艺得以施展的根本。如今，即使“它会传播绝症”的传言甚嚣尘上，也依旧没多少人能抵挡住它的诱惑。","Widely used in industry, this Originium crystal is difficult to extract. Its production requires very fine processing, but it remains the major energy source of the world and the foundation of Originium Arts. Even if widespread rumors claim "Originite Prime spreads an incurable disease," few can resist its temptation.","DIAMOND"
"合成玉","Orundum","none","由至纯源石加工而来，混合了其他矿物以后的源石产物。以前仅能当作一些传导元件使用，现在却逐渐成为人事交互关系中令人信服的象征物。","Made from Originite Prime, it also contains other minerals. In the past, it was used only as a conductive element, but it has since become a store of credit value.","DIAMOND_SHD"
"高级凭证","Advanced Certificate","none","感染者隔离法案是现代国家最后的遮羞布。只要你运用些许特殊的技巧，这一切便如薄纸般不堪一击——莱塔尼亚的一位导师曾如此教导她。","The Infection Isolation Act is the last vestige of modern nation states. As long as you have some special ability, it is but a meaningless piece of paper. (The words of her Leithanien mentor.)","HGG_SHD"
"资质凭证","Qualification Certificate","none","当今时代，搜罗人才是一件困难的事；而若要从躲在阴暗处的感染者中寻求可用之才，更无异于大海捞针。如果罗德岛能成为包容所有人的大海，是否就可以省去诸多烦恼呢？","Good help is hard to find in troubled times, especially when trying to do it secretly. It's like finding a needle in a haystack, but what if Rhodes Island were to become the haystack? Would that save some time?","LGG_SHD"
"采购凭证","Purchase Certificate","none","维持罗德岛的运转需要巨额经费和庞杂的原料，所以，通过各类渠道进行商业活动以平衡开支是必要的。","The operations at Rhodes Island require substantial funding and a variety of materials. Therefore, we must trade in diverse markets in order to keep everything running","EXGG_SHD"
"声望","EXP","none","做得很好，就这样继续变强吧。只要坚持不懈，所有的心血都不会白费的。","Good job. Keep it up and get stronger. As long as you don't give up, your efforts will pay off in the end.","EXP_PLAYER"
"演习券","Drill Plan","none","凡事欲速则不达。对于罗德岛而言，每一次正式交战都意味着会出现人员伤亡的可能性，因此，在进入实战前多利用演习参透对方的布置才是上策，不然等到中了敌方埋伏，一切都来不及了。","Haste makes waste. For Rhodes Island, every operation has the potential for a loss of life. Therefore, it is wise to drill before actual combat, long before we run into an enemy ambush.","TKT_TRY"
"招聘许可","Recruitment Permit","none","人事部的同事们每天都要处理巨量信息，但他们总是能从砂土中淘出那块属于罗德岛的黄金。","Our colleagues in the Human Resource Department have to manage a deluge of information each and every day, but they always manage to dig out Rhodes Island's diamonds from the rough.","TKT_RECRUIT"
"加急许可","Expedited Plan","none","收到这份加急许可的人请立即来人事部报道！","Anyone who receives this permit, please report to the Rhodes Island Human Resource Department immediately!","TKT_INST_FIN"
"寻访凭证","Headhunting Permit","none","相比罗德岛，猎头公司有着更广的人脉与资源。他们或许比罗德岛更擅长从各个领域发掘人才，而这也是人事部愿意支付高额佣金的唯一原因。","Compared to Rhodes Island, headhunting companies have more contacts and resources. They are probably more capable of finding skilled operators in all fields, which is why the Human Resource Department is willing to pay their exorbitant commissions.","TKT_GACHA"
"十连寻访凭证","Ten-roll Headhunting Permit","none","在罗德岛需求大量人才的时候，一般的许可书将会降低猎头公司工作的效率。为了推进罗德岛的发展，人事部颁发了此类批量寻访人才的证书。","When Rhodes Island is need of skilled operators, our normal permits may not make efficient use of our headhunting company contractors. In order to accelerate the development of Rhodes Island, the Human Resource Department has issued these permits for headhunting in batches.","TKT_GACHA_10"
"源岩","Orirock","Rock","富含有机物，常见于源石挥发殆尽后的地区。相对源石来说是较为容易采集的材料。","Rich in organics, it is commonly seen in regions where Originium has completely volatilized. Compared to Originium, it is easier to exploit.","MTL_SL_G1"
"固源岩","Orirock Cube","Rock Block","内含有密集的微孔，常作为源石气体分解物的吸附剂。多用于防护夹层。","With numerous micropores, it is often used in the interlayer of armors as an adsorbent of the breakdown product of Originium gas.","MTL_SL_G2"
"固源岩组","Orirock Cluster","Rock Set","固源岩的压缩定型产物，可自然形成。易碎，随着工业实力的提升，采集到更加完整的固源岩组已不成问题。只是在分类存放时容易和其它用途的石料搞混。","Compressed from Orirock Cubes, it can be formed naturally. It is a fragile material, but industrial technology has made it possible to produce complete Orirock Clusters now. People often mistake it for an ordinary cluster of rocks.","MTL_SL_G3"
"提纯源岩","Orriock Concentration","Refined Rock","高度提纯后的源岩展现出了不同于原料的型态，其工艺消耗与提纯成本也急剧上升。无论是谁，看着规则的切割面都会不禁发出感慨吧。这就是工业与自然结合的魅力。","This Orirock looks different from the raw material after the refinement process. It costs much more than other processing methods. Anyone who has seen the smooth cutting surface will be amazed. That must be the charm of combining nature with industry.","MTL_SL_G4"
"代糖","Sugar Substitute","Sugar Substitute","有着微弱的甜味，也许可以吃。同时其溶液也常用于化工用途。","It's slightly sweet and possibly edible. It is also commonly used in chemical manufacturing.","MTL_SL_STRG1"
"糖","Sugar","Sugar","使用自然原材制作的稍显贵重的糖料。啊啊，这个味道……会带来不错的好心情。不是用来当零食吃的。","Sugar made from natural materials. It's a bit expensive, but its flavor, well... it makes you feel good. P.S. It's not a snack.","MTL_SL_STRG2"
"糖组","Sugar Pack","Sugar Pack","饱含能量、广受欢迎的糖块组合包。在被加工成化工材料之前，份量就总是有所减少。流水线上的员工们似乎脱不了干系。","A calorie-rich sugar pack that's highly sought after. Its weight never seems to meet the standards set for chemical manufacturing. The production line employees may have something to do with it.","MTL_SL_STRG3"
"糖聚块","Sugar Lump","Sugar Box","充满诱惑力的精加工糖块堆，通常用于制备药剂。严禁在加工前偷吃！这不是一般的食品，也不会作为食品售卖！不会！","A nice, finely processed sugar lump commonly used for potion production. Do not taste test it! This is not food and is not to be sold as food! EVER!","MTL_SL_STRG4"
"酯原料","Ester","Raw Ester","近代工业中至关重要的材料之一，许多现代产品的诞生都归功于它的出现。当然了，这只是原料，几乎派不上什么大用场。","One of the most important materials in modern industry. Its appearance has lead to the development of many modern products. This one, of course, is only a raw material that has practical application.","MTL_SL_RUSH1"
"聚酸酯","Polyester","Polyester","虽然强度上还略有不足，但已经可以用来制作我们所需要的部分基础物件。同时是一些缓释药物中的常用成分。","Although its is lacking in potency, it can still be used to produce some basic materials we need. It is also a common ingredient in some sustained-release drugs.","MTL_SL_RUSH2"
"聚酸酯组","Polyester Pack","Polyester Pack","进一步加工后的材料，符合通用标准，能够满足市面上绝大多数的需求。可以用于加工一些特殊材料。","After a series of processes, it meets the standards and general needs of most products on the market. It can also be used to process some special materials.","MTL_SL_RUSH3"
"聚酸酯块","Polyester Lump","Polyester Box","精炼提纯后的材料。作为商品，主要面向的客户是对原材料有极高要求的组织和科研机构。也许会成为新一代材料的试金石也说不定哦。","A refined material. As a product, it is mostly sold to organizations and research institutions that have extremely high raw material needs. It may become the basis of the next generation of materials.","MTL_SL_RUSH4"
"异铁碎片","Oriron Shard","Xeno Iron Shard","大规模金属原料加工的副产物，因其可塑性强、难以被氧化的特性，常被用于材料金属熔炼与阶段性再处理。","A byproduct of massive metal processing. Its high plasticity and oxidation resistance make it a common material of smelting and phased processing.","MTL_SL_IRON1"
"异铁","Oriron","Xeno Iron","在少数惰化流程中，异铁碎片偶尔会产生相变，聚合为异铁。一般认为达到此量级的异铁产物才是异铁较为稳定的形态。","In a small number of inerting processes, Oriron Shards may have phase changed and polymerized into Oriron. It is generally thought that Oriron is relatively stable when it reaches this level.","MTL_SL_IRON2"
"异铁组","Oriron Cluster","Xeno Iron Chunk","加工过程中，多块异铁在极少数非人为因素影响下，偶然产生的异铁组合，硬度下降，纯度进一步上升。","During the processing, influenced by very few unartificial factors, multiple Orirons may merge into this form by chance. Its hardness has decreased but its purity has increased.","MTL_SL_IRON3"
"异铁块","Oriron Block","Mass Xeno Iron","在极为苛刻的条件下，由多套异铁组熔铸成型的异铁块。已知异铁材料中最为稳定也最为稀少的形式，作为原材料，足以打破现有制品运用领域的疆界。","An Oriron block fused with multiple Oriron Clusters under extremely harsh conditions. As the most stable and rarest form of Oriron, it can be used in all manners of industrial production.","MTL_SL_IRON4"
"双酮","Diketon","Ketone","极少量的非单酮制剂，通过再处理后，工程干员将藉由其发生的化合反应转变过程中的固化现象，来粘结其它稳定结构。","A very small amount of Diketon. After reprocessing, Engineer Operators use solidification during chemical combination to bond other stable structures.","MTL_SL_KETONE1"
"酮凝集","Polyketon","Flocculated Ketone","经过特殊处理后产出的少量多态酮制剂，易于闭合的分子构造能将原本繁杂的处理工艺简化为单纯的化学反应，当然，也需要一定的技术支持。","A small amount of Polyketon preparation produced through a special process. Its closed molecular structure has changed much complicated processing into simple chemical reactions. Of course, certain technical support is still needed.","MTL_SL_KETONE2"
"酮凝集组","Aketon"," Flocculated Ketone Case","进一步脱烃处理后得到的中等量酮制剂。制剂接触空气后易与空气中的一些非氧分子发生反应。所以在处理过程中，工程干员理当精准操作，以免浪费材料。","A modest amount of Aketon preparation produced through further dehydrocarbon processing. The preparation reacts with the non-oxygen molecules in the air, so Engineer Operators must be careful during processing to avoid waste.","MTL_SL_KETONE3"
"酮阵列","Keton Colloid","Ketone Arrangement","由工程干员严格监控的大量不稳定实验性酮制剂。是高级的工业材料之一，运用时也请多加小心。","A large amount of unstable Keton preparation. As one of the advanced industrial materials, it is closely monitored by our Engineer Operators. Please be careful when handling.","MTL_SL_KETONE4"
"破损装置","Damaged Device","Broken Gadget","一些残破的装置。这些装置曾被拼装在敌人的武器和防具上，经历了激烈的战斗后已经损坏，不过其内部元件依旧具备一定的使用价值。","A broken device that was embedded in the enemy's weapons and armor. It got damaged during a fierce fight, but the components inside are still valuable.","MTL_SL_BOSS1"
"装置","Device","Gadget","一套相对完整的装置，含有大量密集的可用电子元件。为了迎合轻便实用的设计，主板寸土寸金的空间被塞的满满当当。","A set of devices that are relatively complete with numerous valuable components. To make it portable and practical, almost every bit of space around the motherboard is in use.","MTL_SL_BOSS2"
"全新装置","Integrated Device","Current Gadget","一套全新装配而成的装置，通过重构同类型装置的结构，主板原本一直存在的空间紧张的问题得到了解决，当然启动时的能耗要求也变高了。","A set of brand new devices. By reproducing the structure of devices of the same type, the lack of space around the motherboard has been solved. The energy consumption, of course, has also become higher.","MTL_SL_BOSS3"
"改量装置","Optimized Device","Quantum Gadget","经过大量私自改造的装置，是极大扩充了容量后的版本，大幅提升性能的同时牺牲了稳定性，从中能感受到制作者所投入的狂热与执着……","This version has been completely modified and thus the capacity has been significantly increased at the price of stability. You can feel the craftsman's passion and enthusiasm through his modifications to this device...","MTL_SL_BOSS4"
"扭转醇","Loxic Kohl","Twist Alcohol","优秀的化工中介体，常在两种形状间转换以储存和放出传导物质。液化后与酒精在某些性质上十分相似，时常导致整个工作间醉醺醺的。","An outstanding chemical mediator. When in use, it often changes between two forms to store and release other materials. When it becomes liquid, some of its properties are the same as those of alcohol, which often leaves our Engineer Operators tipsy.","MTL_SL_ALCOHOL1"
"白马醇","White Horse Kohl","White Horse Alcohol","扭转醇精加工后的产物，名字来自发现其产出方式的厂家。实验结果表明，拥有在非常态环境中向更高级结构转化的趋势。","A product made from Loxic Kohl after fine processing. It was named after the company that discovered its production method. Experiments show that it tends to transform to a higher structure in abnormal environments.","MTL_SL_ALCOHOL2"
"轻锰矿","Manganese Ore","Manganese Ore","用以产出极为泛用的工业催化剂的金属矿物。再加工过程十分复杂，因不规范操作而导致事故的例子比比皆是。","A metal that is used to produce a catalyst widely used in industries. As the reprocessing is complicated, accidents caused by nonstandard techniques do happen from time to time.","MTL_SL_MANGANESE1"
"三水锰矿","Manganese Trihydrate","Manganese Block","少有厂家愿意用于生产工业催化剂的珍贵金属矿物。所制催化剂寿命极长，能够多次反复利用并汽提再生，然而复杂的加工工序令多数厂商望而却步。","A precious metal which few companies are willing to use to produce industrial catalysts. The catalyst made from it, however, has an extremely long service life. It can be used repeatedly and even stripped and recycled, but the complicated processes have forced many companies to give up.","MTL_SL_MANGANESE2"
"研磨石","Grindstone","Polish Stone","不起爆、不粉化、不开裂，于零件加工工序中占有重要地位的工具材料。自然属性相当稳定。","An important tool in component processing. It has stable properties, and will never explode, powderize, or crack.","MTL_SL_PG1"
"五水研磨石","Grindstone Pentahydrate","Pentahydrate Polish Stone","相较普通研磨石，物质结构更加稳定的工具材料。极难与其它物质发生化学反应。","Compared to normal Grindstone, this tool has an even more stable structure. It is highly non-reactive.","MTL_SL_PG2"
"RMA70-12","RMA70-12","RMA70-12","自然态呈复杂多面体的矿物。在被发现其现代工业价值之前，就已经被发现了其在源石技艺施展中的价值。","A mineral whose natural form is a complicated polyhedron. Its value for Originium Arts was known long before its industrial value.","MTL_SL_RMA7012"
"RMA70-24","RMA70-24","RMA70-24","自然态呈复杂多面体的矿物。于1024年被发现，在庞大的工业体系中，展现出了在源石技艺体系内其他矿物不曾具备的巨大价值。","A mineral whose natural form is a complicated polyhedron. Found in 1024, it shows great industrial value that other minerals used for Originium Arts lack.","MTL_SL_RMA7024"
"聚合剂","Polymerization Preparation","Aggregate Agent","精密穿戴着装中常用的材料。多作为隔绝涂层使用。强大的聚合粘接效果足以阻断源石的挥发。","A material commonly used as an isolation coating for delicate equipment. Its bonding effect is strong enough to interrupt the volatilization of Originium.","MTL_SL_PP"
"双极纳米片","Bipolar Nanoflake","Bipolar Nanoplate","对范围内源石敏感的装置。能有效提升源石附近范围内作战武器和设备对源石的敏感性，使源石技艺的存储几近可能。","A device that is sensitive to Originium within a certain range. It can significatnly improve the sensitive of nearby weapons and equipment to Originium, making them near vessels for Originium Arts.","MTL_SL_BN"
"D32钢","D32 Steel","D32 Steel","强度超群，无法击穿，顺畅传导源石技艺，将重新订立武器材料的标准。","This material can deliver Originium Arts smoothly and its amazing hardness makes it impossible to penetrate. It will set a new standard for weapon materials.","MTL_SL_DS"
"芯片助剂","Chip Catalyst","Chip Additive","价值高，产量小，让工程干员头疼。","It's highly valuable, but its low yield has been a problem for Engineer Operators.","MTL_ASC_DI"
"信用","Credit","none","信用维系着各个群体间的关系，也是社会稳定的象征，有时候甚至比金钱还有用哦，请好好珍惜。","Credit holds communities together and stands as a symbol of social stability. Sometimes it's even more valuable than money, so do please cherish it.","SOCIAL_PT"
"理智","Sanity","none","“是什么区别了这片大地和我们自身？呼吸，还是情感？又或者是，生、老、病、死？”",""What is it that distinguishes us from this land? Our breath, or feeling? Or life and death?"","AP_GAMEPLAY"
"无人机","Drone","none","由罗德岛后勤部统一操控的建造用无人机，没有它们，干员们可能要多等十倍的时间才能入住。","Drones used for construction. They are controlled by the Rhodes Island Logistics Department. Without them, Operators would have to wait 10 times as long to get base housing.","AP_BASE"
"先锋信物复制品","Replicated Vanguard Token","none","普普通通的信物。虽然不是什么特别的物件，但也有一定的用处。","A normal token. It's nothing special, but it has its uses.","tier1_pioneer"
"近卫信物复制品","Replicated Guard Token","none","普普通通的信物。虽然不是什么特别的物件，但也有一定的用处。","A normal token. It's nothing special, but it has its uses.","tier1_guard"
"狙击信物复制品","Replicated Sniper Token","none","普普通通的信物。虽然不是什么特别的物件，但也有一定的用处。","A normal token. It's nothing special, but it has its uses.","tier1_sniper"
"重装信物复制品","Replicated Defender Token","none","普普通通的信物。虽然不是什么特别的物件，但也有一定的用处。","A normal token. It's nothing special, but it has its uses.","tier1_tank"
"医疗信物复制品","Replicated Medic Token","none","普普通通的信物。虽然不是什么特别的物件，但也有一定的用处。","A normal token. It's nothing special, but it has its uses.","tier1_medic"
"辅助信物复制品","Replicated Supporter Token","none","普普通通的信物。虽然不是什么特别的物件，但也有一定的用处。","A normal token. It's nothing special, but it has its uses.","tier1_supporter"
"术师信物复制品","Replicated Caster Token","none","普普通通的信物。虽然不是什么特别的物件，但也有一定的用处。","A normal token. It's nothing special, but it has its uses.","tier1_caster"
"特种信物复制品","Replicated Specialist Token","none","普普通通的信物。虽然不是什么特别的物件，但也有一定的用处。","A normal token. It's nothing special, but it has its uses.","tier1_special"
"先锋信物原件","Original Vanguard Token","none","朴实无华的信物。只有在需要使用时，才会回忆起它的存在。","A common token. People only remember it when they really need it.","tier2_pioneer"
"近卫信物原件","Original Guard Token","none","朴实无华的信物。只有在需要使用时，才会回忆起它的存在。","A common token. People only remember it when they really need it.","tier2_guard"
"狙击信物原件","Original Sniper Token","none","朴实无华的信物。只有在需要使用时，才会回忆起它的存在。","A common token. People only remember it when they really need it.","tier2_sniper"
"重装信物原件","Original Defender Token","none","朴实无华的信物。只有在需要使用时，才会回忆起它的存在。","A common token. People only remember it when they really need it.","tier2_tank"
"医疗信物原件","Original Medic Token","none","朴实无华的信物。只有在需要使用时，才会回忆起它的存在。","A common token. People only remember it when they really need it.","tier2_medic"
"辅助信物原件","Original Supporter Token","none","朴实无华的信物。只有在需要使用时，才会回忆起它的存在。","A common token. People only remember it when they really need it.","tier2_supporter"
"术师信物原件","Original Caster Token","none","朴实无华的信物。只有在需要使用时，才会回忆起它的存在。","A common token. People only remember it when they really need it.","tier2_caster"
"特种信物原件","Original Specialist Token","none","朴实无华的信物。只有在需要使用时，才会回忆起它的存在。","A common token. People only remember it when they really need it.","tier2_special"
"先锋信物藏品","Antique Vanguard Token","none","令人在意的信物。第一眼不会留下什么印象，却总是没法忘记。","A peculiar token. It's nothing amazing, but you won't forget you have it.","tier3_pioneer"
"近卫信物藏品","Antique Guard Token","none","令人在意的信物。第一眼不会留下什么印象，却总是没法忘记。","A peculiar token. It's nothing amazing, but you won't forget you have it.","tier3_guard"
"狙击信物藏品","Antique Sniper Token","none","令人在意的信物。第一眼不会留下什么印象，却总是没法忘记。","A peculiar token. It's nothing amazing, but you won't forget you have it.","tier3_sniper"
