Characters,BuffId,Skill Name,RoomType,BuffCategory,Skill Description,Skill Description (Formatted)
None,,Thermal Energy·β,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%","When stationed at a Power Station, drone recovery per hour <@cc.vup>+15%</>"
Ifrit,power_rec_spd[020],High Temperature Recharge,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%","When stationed at a Power Station, drone recovery per hour <@cc.vup>+15%</>"
Liskarm,power_rec_spd[030],Pulsing Arc·α,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%","When stationed at a Power Station, drone recovery per hour <@cc.vup>+15%</>"
Liskarm,power_rec_spd[031],Pulsing Arc·β,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +20%","When stationed at a Power Station, drone recovery per hour <@cc.vup>+20%</>"
Glaucus,power_rec_spd[040],Electromagnetic Charging·α,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +10%","When stationed at a Power Station, drone recovery per hour <@cc.vup>+10%</>"
Glaucus,power_rec_spd[041],Electromagnetic Charging·β,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%","When stationed at a Power Station, drone recovery per hour <@cc.vup>+15%</>"
Weedy,manu_prod_spd&power[000],Automation·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production from other operators reduced to 0, however increase production by +10% for every existing Power Station","When stationed at a Craft Station, production from other operators <@cc.vdown>reduced to 0</>, however increase production by <@cc.vup>+10%</> for every existing <@cc.kw>Power Station</>"
Weedy,manu_prod_spd&power[011],Bionic Seadragon,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production from other operators reduced to 0, however increase production by +15% for every existing Power Station","When stationed at a Craft Station, production from other operators <@cc.vdown>reduced to 0</>, however increase production by <@cc.vup>+15%</> for every existing <@cc.kw>Power Station</>"
"Yato, Meteor",manu_prod_spd[000],Standardization·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +15%","When stationed at a Craft Station, production <@cc.vup>+15%</>"
"Steward, Vanilla, Perfumer, Jessica",manu_prod_spd[001],Standardization·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +25%","When stationed at a Craft Station, production <@cc.vup>+25%</>"
"Silence, Ptilopsis",manu_prod_spd[010],Rhine Technology·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +15%","When stationed at a Craft Station, production <@cc.vup>+15%</>"
"Silence, Ptilopsis",manu_prod_spd[011],Rhine Technology·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +25%","When stationed at a Craft Station, production <@cc.vup>+25%</>"
Mayer,manu_prod_spd[020],Mibo·Production Model,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +30%","When stationed at a Craft Station, production <@cc.vup>+30%</>"
Fang,manu_prod_spd_addition[030],Impatient,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +20% for the first hour. Thereafter, increase by +1% every hour, capping at +25%","When stationed at a Craft Station, production <@cc.vup>+20%</> for the first hour. Thereafter, increase by <@cc.vup>+1%</> every hour, capping at <@cc.vup>+25%</>"
Ceobe,manu_prod_spd_addition[031],"""Can't wait""",MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +20% for the first hour. Thereafter, increase by +1% every hour, capping at +25%","When stationed at a Craft Station, production <@cc.vup>+20%</> for the first hour. Thereafter, increase by <@cc.vup>+1%</> every hour, capping at <@cc.vup>+25%</>"
Kroos,manu_prod_spd_addition[040],Slow Starter,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +15% for the first hour. Thereafter, increase by +2% every hour, capping at +25%","When stationed at a Craft Station, production <@cc.vup>+15%</> for the first hour. Thereafter, increase by <@cc.vup>+2%</> every hour, capping at <@cc.vup>+25%</>"
"Beagle, Cardigan",manu_prod_spd&limit[000],Warehouse Organization·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +6 and production +10%","When stationed at a Craft Station, storage capacity <@cc.vup>+6</> and production <@cc.vup>+10%</>"
"Noir Corne, Cuora",manu_prod_spd&limit[001],Warehouse Organization·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +10 and production +10%","When stationed at a Craft Station, storage capacity <@cc.vup>+10</> and production <@cc.vup>+10%</>"
None,,Mass Production,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +8 and production +10%","When stationed at a Craft Station, storage capacity <@cc.vup>+8</> and production <@cc.vup>+10%</>"
Scavenger,manu_prod_limit&cost[000],Scavenger,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +8 and mood reduction per hour -0.25","When stationed at a Craft Station, storage capacity <@cc.vup>+8</> and mood reduction per hour <@cc.vup>-0.25</>"
Ceobe,manu_prod_limit&cost[001],"""Want them all""",MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +8 and mood reduction per hour -0.25","When stationed at a Craft Station, storage capacity <@cc.vup>+8</> and mood reduction per hour <@cc.vup>-0.25</>"
Vermeil,manu_prod_limit&cost[0000],Scavenger,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +8 and mood reduction per hour -0.25","When stationed at a Craft Station, storage capacity <@cc.vup>+8</> and mood reduction per hour <@cc.vup>-0.25</>"
Asbestos,manu_prod_limit&cost[010],Explorer,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +16 and mood reduction per hour -0.25","When stationed at a Craft Station, storage capacity <@cc.vup>+16</> and mood reduction per hour <@cc.vup>-0.25</>"
Vulcan,manu_prod_spd&limit&cost[000],Craftsmanship·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production -5%, storage capacity +16 and mood reduction per hour -0.15","When stationed at a Craft Station, production <@cc.vdown>-5%</>, storage capacity <@cc.vup>+16</> and mood reduction per hour <@cc.vup>-0.15</>"
Vulcan,manu_prod_spd&limit&cost[001],Craftsmanship·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production -5%, storage capacity +18 and mood reduction per hour -0.25","When stationed at a Craft Station, production <@cc.vdown>-5%</>, storage capacity <@cc.vup>+18</> and mood reduction per hour <@cc.vup>-0.25</>"
Popukar,manu_prod_spd&limit&cost[010],Troublesome Creator,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +25%, storage capacity -12 and mood reduction per hour +0.25","When stationed at a Craft Station, production <@cc.vup>+25%</>, storage capacity <@cc.vdown>-12</> and mood reduction per hour <@cc.vdown>+0.25</>"
Asbestos,manu_prod_spd&limit&cost[011],Maverick,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +25%, storage capacity -12 and mood reduction per hour +0.25","When stationed at a Craft Station, production <@cc.vup>+25%</>, storage capacity <@cc.vdown>-12</> and mood reduction per hour <@cc.vdown>+0.25</>"
Vermeil,manu_prod_spd_variable[000],Recycling,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +2% for every +1 storage capacity provided by operators","When stationed at a Craft Station, production <@cc.vup>+2%</> for every +1 storage capacity provided by operators"
Waai Fu,manu_prod_spd_variable2[000],Sense of Cooperation,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +5% for every 5% production provided by operators, capping at +40%","When stationed at a Craft Station, production <@cc.vup>+5%</> for every <@cc.vup>5%</> production provided by operators, capping at <@cc.vup>+40%</>"
"Castle-3, ShiraYuki, Frostleaf, Vigna, FEater",manu_formula_spd[000],Combat Directive Recordings,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of EXP cards by +30%","When stationed at a Craft Station, increase production of <@cc.kw>EXP cards</> by <@cc.vup>+30%</>"
FEater,manu_formula_spd[001],Boxing Guide Recordings,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of EXP cards by +35%","When stationed at a Craft Station, increase production of <@cc.kw>EXP cards</> by <@cc.vup>+35%</>"
None,,Tactics Instruction Recordings,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of EXP cards by +35%","When stationed at a Craft Station, increase production of <@cc.kw>EXP cards</> by <@cc.vup>+35%</>"
"Spot, Haze",manu_formula_spd[100],Metal Crafts·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of precious metals by +30%","When stationed at a Craft Station, increase production of <@cc.kw>precious metals</> by <@cc.vup>+30%</>"
Gravel,manu_formula_spd[101],Metal Crafts·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of precious metals by +35%","When stationed at a Craft Station, increase production of <@cc.kw>precious metals</> by <@cc.vup>+35%</>"
Midnight,manu_formula_spd[200],Originium Crafts·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of originium products by +30%","When stationed at a Craft Station, increase production of <@cc.kw>originium products</> by <@cc.vup>+30%</>"
Lava,manu_formula_spd[201],Originium Crafts·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of originium products by +35%","When stationed at a Craft Station, increase production of <@cc.kw>originium products</> by <@cc.vup>+35%</>"
Earthspirit,manu_formula_spd[210],Geologist,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of originium products by +35%","When stationed at a Craft Station, increase production of <@cc.kw>originium products</> by <@cc.vup>+35%</>"
Eyjafjalla,manu_formula_spd[211],Volcanologist,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of originium products by +35%","When stationed at a Craft Station, increase production of <@cc.kw>originium products</> by <@cc.vup>+35%</>"
Ceylon,manu_formula_spd[220],Originium Research,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of originium products by +35%","When stationed at a Craft Station, increase production of <@cc.kw>originium products</> by <@cc.vup>+35%</>"
Waai Fu,manu_cost_all[000],Team Spirit,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, remove self-affecting mood reduction effects of all operators in the same Station","When stationed at a Craft Station, <@cc.kw>remove self-affecting</> mood reduction effects of all operators in the same Station"
Purestream,manu_prod_spd&trade[000],Renewable Energy,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of precious metals by +20% for every existing Trade Station","When stationed at a Craft Station, increase production of <@cc.kw>precious metals</> by <@cc.vup>+20%</> for every existing <@cc.kw>Trade Station</>"
"Adnachiel, Vanilla, Deepcolor, Cuora",trade_ord_spd[000],Order Distribution·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+20%</>"
"Yato, Fang, Haze, Mousse, Matoimaru, Ambriel",trade_ord_spd[001],Order Distribution·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30%","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+30%</>"
Exusiai,trade_ord_spd[010],Penguin Logistics·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+20%</>"
Sora,trade_ord_spd[011],Penguin Logistics·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30%","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+30%</>"
Exusiai,trade_ord_spd[020],Logistics Expert,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +35%","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+35%</>"
Shamare,trade_ord_vodfox[000],Whisper,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency from other operators reduced to 0, however each operator grants +45% order acquisition efficiency to self. Additionally, mood reduction per hour of all operators +0.25","When stationed at a Trade Station, order acquisition efficiency from other operators <@cc.vdown>reduced to 0</>, however each operator grants <@cc.vup>+45%</> order acquisition efficiency to self. Additionally, mood reduction per hour of all operators <@cc.vdown>+0.25</>"
Snowsant,trade_ord_spd_variable2[000],Heavenly Reward·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +5% for every 5% efficiency provided by operators, capping at +25%","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+5%</> for every <@cc.vup>5%</> efficiency provided by operators, capping at <@cc.vup>+25%</>"
Snowsant,trade_ord_spd_variable2[001],Heavenly Reward·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +5% for every 5% efficiency provided by operators, capping at +35%","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+5%</> for every <@cc.vup>5%</> efficiency provided by operators, capping at <@cc.vup>+35%</>"
"Noir Corne, Plume",trade_ord_spd&limit[000],Order Management·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +10% and order limit +1","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+10%</> and order limit <@cc.vup>+1</>"
None,,Order Management·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +10% and order limit +2","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+10%</> and order limit <@cc.vup>+2</>"
"Melantha, Orchid, Gitano",trade_ord_spd&limit[010],Supply Management,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +25% and order limit +1","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+25%</> and order limit <@cc.vup>+1</>"
"Courier, Matterhorn, SilverAsh",trade_ord_spd&limit[020],Karlan Trading·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +15% and order limit +1","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+15%</> and order limit <@cc.vup>+1</>"
Cliffheart,trade_ord_spd&limit[021],Karlan Trading·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +15% and order limit +2","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+15%</> and order limit <@cc.vup>+2</>"
SilverAsh,trade_ord_spd&limit[022],Owner of Karlan,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20% and order limit +3","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+20%</> and order limit <@cc.vup>+3</>"
Croissant,trade_ord_spd&limit[030],Penguin Logistics·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+20%</>"
Croissant,trade_ord_spd&limit[031],Mission Guarantee,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30% and order limit +1","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+30%</> and order limit <@cc.vup>+1</>"
Bison,trade_ord_spd&limit[032],Fengchi Logistics,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+20%</>"
Bison,trade_ord_spd&limit[033],Young Master,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30% and order limit +1","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+30%</> and order limit <@cc.vup>+1</>"
"Catapult, Midnight, Гум",trade_ord_spd&cost[000],Communication,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30% and mood reduction per hour -0.25","When stationed at a Trade Station, order acquisition efficiency <@cc.vup>+30%</> and mood reduction per hour <@cc.vup>-0.25</>"
"Steward, Rope, Myrtle",trade_ord_limit&cost[000],Negotiation,TRADING,OUTPUT,"When stationed at a Trade Station, order limit +3 and mood reduction per hour -0.25","When stationed at a Trade Station, order limit <@cc.vup>+3</> and mood reduction per hour <@cc.vup>-0.25</>"
"Bibeak, Shamare",trade_ord_wt&cost[000],Tailoring·α,TRADING,OUTPUT,"When stationed at a Trade Station, slightly increase the appearance rate of high volume orders of precious metals (affected by work duration) and mood reduction per hour -0.25","When stationed at a Trade Station, <@cc.kw>slightly increase</> the appearance rate of <@cc.kw>high volume orders of precious metals</> (affected by work duration) and mood reduction per hour <@cc.vup>-0.25</>"
Bibeak,trade_ord_wt&cost[001],Tailoring·β,TRADING,OUTPUT,"When stationed at a Trade Station, increase the appearance rate of high volume orders of precious metals (affected by work duration) and mood reduction per hour -0.25","When stationed at a Trade Station, <@cc.kw>increase</> the appearance rate of <@cc.kw>high volume orders of precious metals</> (affected by work duration) and mood reduction per hour <@cc.vup>-0.25</>"
Texas,trade_ord_spd&cost_P[000],Resentment,TRADING,OUTPUT,"When stationed together with Lappland at the same Trade Station, mood reduction per hour +0.3 and order acquisition efficiency +65%","When stationed together with <@cc.kw>Lappland</> at the same Trade Station, mood reduction per hour <@cc.vdown>+0.3</> and order acquisition efficiency <@cc.vup>+65%</>"
Texas,trade_ord_limit&cost_P[010],Good Chemistry,TRADING,OUTPUT,"When stationed together with Exusiai at the same Trade Station, mood reduction per hour -0.3","When stationed together with <@cc.kw>Exusiai</> at the same Trade Station, mood reduction per hour <@cc.vup>-0.3</>"
Lappland,trade_ord_limit&cost_P[000],Drunkard's Intent·α,TRADING,OUTPUT,"When stationed together with Texas at the same Trade Station, mood reduction per hour -0.1 and order limit +2","When stationed together with <@cc.kw>Texas</> at the same Trade Station, mood reduction per hour <@cc.vup>-0.1</> and order limit <@cc.vup>+2</>"
Lappland,trade_ord_limit&cost_P[001],Drunkard's Intent·β,TRADING,OUTPUT,"When stationed together with Texas at the same Trade Station, mood reduction per hour -0.1 and order limit +4","When stationed together with <@cc.kw>Texas</> at the same Trade Station, mood reduction per hour <@cc.vup>-0.1</> and order limit <@cc.vup>+4</>"
"Melantha, Gravel",workshop_proc_probability[000],Focus·α,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 40%","When stationed at the Synthesis Station and producing <@cc.kw>any kind of material</>, increase the rate of by-products by <@cc.vup>40%</>"
"Deepcolor, Estelle",workshop_proc_probability[001],Focus·β,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 60%","When stationed at the Synthesis Station and producing <@cc.kw>any kind of material</>, increase the rate of by-products by <@cc.vup>60%</>"
"Rangers, Adnachiel, Spot, Greyy, Hung",workshop_proc_probability[010],Skilled Craftsman,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 50%","When stationed at the Synthesis Station and producing <@cc.kw>any kind of material</>, increase the rate of by-products by <@cc.vup>50%</>"
Magallan,workshop_proc_probability[011],Multi-purpose Mapper,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 50%","When stationed at the Synthesis Station and producing <@cc.kw>any kind of material</>, increase the rate of by-products by <@cc.vup>50%</>"
Mayer,workshop_proc_probability[020],Mibo·Processing Model,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 65%","When stationed at the Synthesis Station and producing <@cc.kw>any kind of material</>, increase the rate of by-products by <@cc.vup>65%</>"
Magallan,workshop_formula_cost[000],Dragon-style Drone,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, recipes which consume 4 mood and above will have -2 mood consumed","When stationed at the Synthesis Station and producing <@cc.kw>any kind of material</>, recipes which consume <@cc.kw>4</> mood and above will have <@cc.vup>-2</> mood consumed"
Nian,workshop_formula_cost[010],Unrestrained,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, all corresponding recipes will consume 2 extra mood","When stationed at the Synthesis Station and producing <@cc.kw>elite materials</>, all corresponding recipes will consume <@cc.vdown>2</> extra mood"
Sesa,workshop_formula_cost3[110],Minimalist Pragmatism,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, recipes which consume 4 mood will have -2 mood consumed","When stationed at the Synthesis Station and producing <@cc.kw>any kind of material</>, recipes which consume <@cc.kw>4</> mood will have <@cc.vup>-2</> mood consumed"
Leonhardt,workshop_formula_cost3[200],Beneficiation,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing infrastructure materials, recipes which consume 2 mood will have -1 mood consumed","When stationed at the Synthesis Station and producing <@cc.kw>infrastructure materials</>, recipes which consume <@cc.kw>2</> mood will have <@cc.vup>-1</> mood consumed"
Cutter,workshop_formula_cost3[300],Indifference,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing chips, recipes which consume 2 mood will have -1 mood consumed","When stationed at the Synthesis Station and producing <@cc.kw>chips</>, recipes which consume <@cc.kw>2</> mood will have <@cc.vup>-1</> mood consumed"
"Matoimaru, Savage, Flamebringer",workshop_formula_probability[000],Skill Theory,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing skill materials, increase the rate of by-products by 70%","When stationed at the Synthesis Station and producing <@cc.kw>skill materials</>, increase the rate of by-products by <@cc.vup>70%</>"
Hellagur,workshop_formula_probability[010],Soldier's Ruse,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing skill materials, increase the rate of by-products by 80%","When stationed at the Synthesis Station and producing <@cc.kw>skill materials</>, increase the rate of by-products by <@cc.vup>80%</>"
Flamebringer,workshop_formula_probability[020],Unparalleled,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing skill materials, increase the rate of by-products by 80%","When stationed at the Synthesis Station and producing <@cc.kw>skill materials</>, increase the rate of by-products by <@cc.vup>80%</>"
Hibiscus,workshop_formula_probability[100],Nutriology,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 70%","When stationed at the Synthesis Station and producing <@cc.kw>elite materials</>, increase the rate of by-products by <@cc.vup>70%</>"
Ceylon,workshop_formula_probability[101],Scholar,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 80%","When stationed at the Synthesis Station and producing <@cc.kw>elite materials</>, increase the rate of by-products by <@cc.vup>80%</>"
Sesa,workshop_formula_probability[102],Industrial Design,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 75%","When stationed at the Synthesis Station and producing <@cc.kw>elite materials</>, increase the rate of by-products by <@cc.vup>75%</>"
"Ansel, Myrrh, Perfumer, Gavial",workshop_formula_probability[110],Pharmacology·α,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 75%","When stationed at the Synthesis Station and producing <@cc.kw>elite materials</>, increase the rate of by-products by <@cc.vup>75%</>"
Sussurro,workshop_formula_probability[111],Pharmacology·β,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing elite materials, increase the rate of by-products by 80%","When stationed at the Synthesis Station and producing <@cc.kw>elite materials</>, increase the rate of by-products by <@cc.vup>80%</>"
