Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,o,o,o
,,,,10,25,0,25,,"Max HP {{max_hp}:.0%}, Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
Gitano,4,skcom_magic_rage[2],Tactical Chanting·Type β,1,45,0,25,Regen over time,Attack speed +{{attack_speed}:.0f},,,
,,,,2,45,0,25,,Attack speed +{{attack_speed}:.0f},,,
,,,,3,45,0,25,,Attack speed +{{attack_speed}:.0f},,,
,,,,4,40,0,25,,Attack speed +{{attack_speed}:.0f},,,
,,,,5,40,0,25,,Attack speed +{{attack_speed}:.0f},,,
,,,,6,40,0,25,,Attack speed +{{attack_speed}:.0f},,,
,,,,7,37,5,25,,Attack speed +{{attack_speed}:.0f},,,
,,,,8,37,5,25,,Attack speed +{{attack_speed}:.0f},,,
,,,,9,37,5,25,,Attack speed +{{attack_speed}:.0f},,,
,,,,10,35,10,25,,Attack speed +{{attack_speed}:.0f},,,
Gitano,4,skchr_fmout_2,Fate,1,100,50,30,Regen over time,"Attack power +{{atk}:.0%}, Increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends.",,,
,,,,2,100,50,30,,"Attack power +{{atk}:.0%}, Increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends.",,,
,,,,3,100,50,30,,"Attack power +{{atk}:.0%}, Increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends.",,,
,,,,4,95,50,30,,"Attack power +{{atk}:.0%}, Increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends.",,,
,,,,5,95,50,30,,"Attack power +{{atk}:.0%}, Increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends.",,,
,,,,6,95,50,30,,"Attack power +{{atk}:.0%}, Increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends.",,,
,,,,7,90,50,30,,"Attack power +{{atk}:.0%}, Increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends.",,,
,,,,8,90,50,30,,"Attack power +{{atk}:.0%}, Increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends.",,,
,,,,9,90,50,30,,"Attack power +{{atk}:.0%}, Increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends.",,,
,,,,10,85,50,30,,"Attack power +{{atk}:.0%}, Increase attack range and attack all enemies within range simultaneously. Stops attacking for {{time}:.0f} seconds after skill ends.",,,
Amiya,5,skcom_magic_rage[3],Tactical Chanting·Type γ,1,40,0,30,Regen over time,Attack speed +{{attack_speed}:.0f},,,
,,,,2,40,0,30,,Attack speed +{{attack_speed}:.0f},,,
,,,,3,40,0,30,,Attack speed +{{attack_speed}:.0f},,,
,,,,4,35,5,30,,Attack speed +{{attack_speed}:.0f},,,
,,,,5,35,5,30,,Attack speed +{{attack_speed}:.0f},,,
,,,,6,35,5,30,,Attack speed +{{attack_speed}:.0f},,,
,,,,7,32,10,30,,Attack speed +{{attack_speed}:.0f},,,
,,,,8,32,10,30,,Attack speed +{{attack_speed}:.0f},,,
,,,,9,32,10,30,,Attack speed +{{attack_speed}:.0f},,,
,,,,10,30,15,30,,Attack speed +{{attack_speed}:.0f},,,
Amiya,5,skchr_amiya_2,Mental Burst,1,100,0,25,Regen over time,"Every attack deals {{attack@times}:.0f} hits at {{attack@atk_scale}:.0%} damage each to random enemies within attack range. Automatic activation, Amiya is stunned for {{stun}:.0f} seconds after the skill ends",,,
,,,,2,100,0,25,,"Every attack deals {{attack@times}:.0f} hits at {{attack@atk_scale}:.0%} damage each to random enemies within attack range. Automatic activation, Amiya is stunned for {{stun}:.0f} seconds after the skill ends",,,
,,,,3,100,0,25,,"Every attack deals {{attack@times}:.0f} hits at {{attack@atk_scale}:.0%} damage each to random enemies within attack range. Automatic activation, Amiya is stunned for {{stun}:.0f} seconds after the skill ends",,,
,,,,4,100,0,25,,"Every attack deals {{attack@times}:.0f} hits at {{attack@atk_scale}:.0%} damage each to random enemies within attack range. Automatic activation, Amiya is stunned for {{stun}:.0f} seconds after the skill ends",,,
,,,,5,100,0,25,,"Every attack deals {{attack@times}:.0f} hits at {{attack@atk_scale}:.0%} damage each to random enemies within attack range. Automatic activation, Amiya is stunned for {{stun}:.0f} seconds after the skill ends",,,
,,,,6,100,0,25,,"Every attack deals {{attack@times}:.0f} hits at {{attack@atk_scale}:.0%} damage each to random enemies within attack range. Automatic activation, Amiya is stunned for {{stun}:.0f} seconds after the skill ends",,,
,,,,7,100,0,25,,"Every attack deals {{attack@times}:.0f} hits at {{attack@atk_scale}:.0%} damage each to random enemies within attack range. Automatic activation, Amiya is stunned for {{stun}:.0f} seconds after the skill ends",,,
,,,,8,100,0,25,,"Every attack deals {{attack@times}:.0f} hits at {{attack@atk_scale}:.0%} damage each to random enemies within attack range. Automatic activation, Amiya is stunned for {{stun}:.0f} seconds after the skill ends",,,
,,,,9,100,0,25,,"Every attack deals {{attack@times}:.0f} hits at {{attack@atk_scale}:.0%} damage each to random enemies within attack range. Automatic activation, Amiya is stunned for {{stun}:.0f} seconds after the skill ends",,,
,,,,10,100,0,25,,"Every attack deals {{attack@times}:.0f} hits at {{attack@atk_scale}:.0%} damage each to random enemies within attack range. Automatic activation, Amiya is stunned for {{stun}:.0f} seconds after the skill ends",,,
Amiya,5,skchr_amiya_3,Chimaera,1,120,0,30,Regen over time,"Attack power +{{atk}:.0%}, Max HP +{{max_hp}:.0%}, Increase attack range, attacks ignore defense and magic resistance. Amiya is forcibly retreated after the skill ends",,,
,,,,2,120,0,30,,"Attack power +{{atk}:.0%}, Max HP +{{max_hp}:.0%}, Increase attack range, attacks ignore defense and magic resistance. Amiya is forcibly retreated after the skill ends",,,
,,,,3,120,0,30,,"Attack power +{{atk}:.0%}, Max HP +{{max_hp}:.0%}, Increase attack range, attacks ignore defense and magic resistance. Amiya is forcibly retreated after the skill ends",,,
,,,,4,120,0,30,,"Attack power +{{atk}:.0%}, Max HP +{{max_hp}:.0%}, Increase attack range, attacks ignore defense and magic resistance. Amiya is forcibly retreated after the skill ends",,,
,,,,5,120,0,30,,"Attack power +{{atk}:.0%}, Max HP +{{max_hp}:.0%}, Increase attack range, attacks ignore defense and magic resistance. Amiya is forcibly retreated after the skill ends",,,
,,,,6,120,0,30,,"Attack power +{{atk}:.0%}, Max HP +{{max_hp}:.0%}, Increase attack range, attacks ignore defense and magic resistance. Amiya is forcibly retreated after the skill ends",,,
,,,,7,120,0,30,,"Attack power +{{atk}:.0%}, Max HP +{{max_hp}:.0%}, Increase attack range, attacks ignore defense and magic resistance. Amiya is forcibly retreated after the skill ends",,,
,,,,8,120,0,30,,"Attack power +{{atk}:.0%}, Max HP +{{max_hp}:.0%}, Increase attack range, attacks ignore defense and magic resistance. Amiya is forcibly retreated after the skill ends",,,
,,,,9,120,0,30,,"Attack power +{{atk}:.0%}, Max HP +{{max_hp}:.0%}, Increase attack range, attacks ignore defense and magic resistance. Amiya is forcibly retreated after the skill ends",,,
,,,,10,120,0,30,,"Attack power +{{atk}:.0%}, Max HP +{{max_hp}:.0%}, Increase attack range, attacks ignore defense and magic resistance. Amiya is forcibly retreated after the skill ends",,,
Skyfire,5,skcom_atk_up[3],Attack Strengthening·Type γ,1,40,0,30,Regen over time,Attack power +{{atk}:.0%},,,
,,,,2,40,0,30,,Attack power +{{atk}:.0%},,,
,,,,3,40,0,30,,Attack power +{{atk}:.0%},,,
,,,,4,37,5,30,,Attack power +{{atk}:.0%},,,
,,,,5,37,5,30,,Attack power +{{atk}:.0%},,,
,,,,6,37,5,30,,Attack power +{{atk}:.0%},,,
,,,,7,35,10,30,,Attack power +{{atk}:.0%},,,
,,,,8,34,10,30,,Attack power +{{atk}:.0%},,,
,,,,9,33,10,30,,Attack power +{{atk}:.0%},,,
,,,,10,30,15,30,,Attack power +{{atk}:.0%},,,
Skyfire,5,skchr_skfire_2,Flame of Heaven,1,35,0,25,Regen over time,"Increase attack interval, attack changes to summoning comets from the sky. Comets require time to reach the ground. They deal {{attack@atk_scale}:.0%} magical damage to enemies in a large area and stun them for {attack@stun} seconds",,,
,,,,2,34,0,25,,"Increase attack interval, attack changes to summoning comets from the sky. Comets require time to reach the ground. They deal {{attack@atk_scale}:.0%} magical damage to enemies in a large area and stun them for {attack@stun} seconds",,,
,,,,3,33,0,25,,"Increase attack interval, attack changes to summoning comets from the sky. Comets require time to reach the ground. They deal {{attack@atk_scale}:.0%} magical damage to enemies in a large area and stun them for {attack@stun} seconds",,,
,,,,4,32,0,28,,"Increase attack interval, attack changes to summoning comets from the sky. Comets require time to reach the ground. They deal {{attack@atk_scale}:.0%} magical damage to enemies in a large area and stun them for {attack@stun} seconds",,,
,,,,5,31,0,28,,"Increase attack interval, attack changes to summoning comets from the sky. Comets require time to reach the ground. They deal {{attack@atk_scale}:.0%} magical damage to enemies in a large area and stun them for {attack@stun} seconds",,,
,,,,6,30,0,28,,"Increase attack interval, attack changes to summoning comets from the sky. Comets require time to reach the ground. They deal {{attack@atk_scale}:.0%} magical damage to enemies in a large area and stun them for {attack@stun} seconds",,,
,,,,7,29,0,31,,"Increase attack interval, attack changes to summoning comets from the sky. Comets require time to reach the ground. They deal {{attack@atk_scale}:.0%} magical damage to enemies in a large area and stun them for {attack@stun} seconds",,,
,,,,8,28,0,33,,"Increase attack interval, attack changes to summoning comets from the sky. Comets require time to reach the ground. They deal {{attack@atk_scale}:.0%} magical damage to enemies in a large area and stun them for {attack@stun} seconds",,,
,,,,9,27,0,35,,"Increase attack interval, attack changes to summoning comets from the sky. Comets require time to reach the ground. They deal {{attack@atk_scale}:.0%} magical damage to enemies in a large area and stun them for {attack@stun} seconds",,,
,,,,10,25,0,40,,"Increase attack interval, attack changes to summoning comets from the sky. Comets require time to reach the ground. They deal {{attack@atk_scale}:.0%} magical damage to enemies in a large area and stun them for {attack@stun} seconds",,,
Ifrit,6,skchr_ifrit_1,Fanaticism,1,50,0,20,Regen over time,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,2,49,0,20,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,3,48,0,20,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,4,47,10,20,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,5,46,10,20,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,6,45,10,20,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,7,44,15,20,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,8,43,15,20,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,9,42,15,20,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
,,,,10,40,20,20,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",,,
Ifrit,6,skchr_ifrit_2,Sunburst,1,9,0,-1,Regen over time,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,2,9,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,3,9,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,4,8,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,5,8,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,6,8,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,7,8,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,8,7,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,9,7,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,10,7,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)",,,
Ifrit,6,skchr_ifrit_3,Burning Ground,1,40,0,20,Regen over time,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second",,,
,,,,2,39,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second",,,
,,,,3,38,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second",,,
,,,,4,36,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second",,,
,,,,5,35,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second",,,
,,,,6,34,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second",,,
,,,,7,31,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second",,,
,,,,8,30,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second",,,
,,,,9,29,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second",,,
,,,,10,28,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second",,,
Eyjafjalla,6,skchr_amgoat_1,Double Chant,1,45,10,25,Regen over time,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}",,,
,,,,2,44,10,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}",,,
,,,,3,43,10,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}",,,
,,,,4,42,15,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}",,,
,,,,5,41,15,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}",,,
,,,,6,40,15,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}",,,
,,,,7,39,20,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}",,,
,,,,8,38,20,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}",,,
,,,,9,37,20,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}",,,
,,,,10,35,25,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}",,,
Eyjafjalla,6,skchr_amgoat_2,Ignite,1,7,0,-1,Regen over time,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,2,7,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,3,7,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,4,7,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,5,7,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,6,7,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,7,6,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,8,6,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,9,6,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",,,
,,,,10,5,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",,,
Eyjafjalla,6,skchr_amgoat_3,Volcano,1,80,30,15,Regen over time,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range",,,
,,,,2,80,31,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range",,,
,,,,3,80,32,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range",,,
,,,,4,80,33,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range",,,
,,,,5,80,34,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range",,,
,,,,6,80,35,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range",,,
,,,,7,80,40,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range",,,
,,,,8,80,45,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range",,,
,,,,9,80,50,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range",,,
,,,,10,80,55,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range",,,
Cardigan,3,skcom_heal_self[1],Health Recovery·Type α,1,26,0,0,Regen over time,Immediately recover {{heal_scale}:.0%} of Max HP,,,
,,,,2,25,0,0,,Immediately recover {{heal_scale}:.0%} of Max HP,,,
,,,,3,24,0,0,,Immediately recover {{heal_scale}:.0%} of Max HP,,,
,,,,4,23,5,0,,Immediately recover {{heal_scale}:.0%} of Max HP,,,
,,,,5,22,5,0,,Immediately recover {{heal_scale}:.0%} of Max HP,,,
,,,,6,21,5,0,,Immediately recover {{heal_scale}:.0%} of Max HP,,,
,,,,7,20,10,0,,Immediately recover {{heal_scale}:.0%} of Max HP,,,
Beagle,3,skcom_def_up[1],Defense Strengthening·Type α,1,50,0,30,Regen over time,Defense power +{{def}:.0%},,,
,,,,2,50,0,30,,Defense power +{{def}:.0%},,,
,,,,3,50,0,30,,Defense power +{{def}:.0%},,,
,,,,4,45,0,30,,Defense power +{{def}:.0%},,,
,,,,5,45,0,30,,Defense power +{{def}:.0%},,,
,,,,6,45,0,30,,Defense power +{{def}:.0%},,,
,,,,7,40,0,30,,Defense power +{{def}:.0%},,,
Matterhorn,4,skchr_yak_1,Body Strengthening,1,45,0,25,Regen over time,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",,,
,,,,2,44,0,25,,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",,,
,,,,3,43,0,25,,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",,,
,,,,4,42,5,27,,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",,,
,,,,5,41,5,27,,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",,,
,,,,6,40,5,27,,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",,,
,,,,7,39,5,27,,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",,,
,,,,8,38,5,28,,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",,,
,,,,9,37,5,29,,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",,,
,,,,10,35,10,30,,"Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second",,,
Matterhorn,4,skchr_yak_2,Cold Resistance,1,50,0,25,Regen over time,"Max HP +{{max_hp}:.0%}, Defense power +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}",,,
,,,,2,49,0,25,,"Max HP +{{max_hp}:.0%}, Defense power +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}",,,
,,,,3,48,0,25,,"Max HP +{{max_hp}:.0%}, Defense power +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}",,,
,,,,4,47,0,27,,"Max HP +{{max_hp}:.0%}, Defense power +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}",,,
